Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,2,326,3232270643,360,223,346,6,443,35786,0,0,0,0,3,3232270643,6,443,443,1385,54,360,60.0,98.92857142857144,2.3815380067750027,4.709051230217512,6646.494897959184,96.75,54.0,42.75,909,20,326,26.0,64.92857142857143,2.3815380067750027,4.709051230217512,6646.494897959184,62.75,20.0,42.75,1633609665.766853,0.0,0.0
1,1,0,0,1,2,1,20,880264544,54,64,40,6,35786,443,0,0,0,0,3,3232270643,6,443,443,1439,54,360,54.0,95.93333333333334,2.493104858845472,5.308854788272281,6328.995555555555,96.5,54.0,42.5,929,20,326,20.0,61.93333333333333,2.493104858845472,5.308854788272281,6328.995555555555,62.5,20.0,42.5,1633609665.808182,0.0413289070129394,0.0413289070129394
2,1,0,0,1,2,1,302,880264544,336,64,322,6,35786,443,0,0,0,0,3,880264544,6,35786,443,1775,54,360,60.0,110.9375,1.8022940391465256,1.7277611657656902,9310.30859375,97.5,54.0,43.5,1231,20,326,26.0,76.9375,1.8022940391465256,1.7277611657656902,9310.30859375,63.5,20.0,43.5,1633609665.842824,0.0346419811248779,0.0759708881378173
3,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,35786,443,0,0,0,0,3,880264544,6,35786,443,3289,54,1514,66.0,193.4705882352941,3.3233073131900066,9.921457462094512,117750.01384083043,99.0,54.0,45.0,2711,20,1480,32.0,159.47058823529412,3.3233073131900066,9.921457462094512,117750.01384083043,65.0,20.0,45.0,1633609665.852328,0.0095040798187255,0.0854749679565428
4,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,35786,443,0,0,0,0,3,880264544,6,35786,443,4803,54,1514,79.0,266.8333333333333,2.2982274406469028,3.5714829798902104,202703.9166666667,172.5,54.0,118.5,4191,20,1480,45.0,232.83333333333331,2.298227440646902,3.571482979890208,202703.91666666672,138.5,20.0,118.5,1633609665.852328,0.0,0.0854749679565428
5,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,35786,443,0,0,0,0,3,880264544,6,35786,443,6317,54,1514,92.0,332.4736842105263,1.767647776927645,1.2815970208168466,269591.0914127424,266.5,54.0,212.5,5671,20,1480,58.0,298.4736842105263,1.767647776927645,1.2815970208168466,269591.0914127424,232.5,20.0,212.5,1633609665.852328,0.0,0.0854749679565428
6,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,35786,443,0,0,0,0,3,880264544,6,35786,443,7831,54,1514,94.0,391.55,1.4211503638366474,0.1245973377228164,322421.74750000006,342.0,54.0,288.0,7151,20,1480,60.0,357.55,1.4211503638366474,0.1245973377228164,322421.74750000006,308.0,20.0,288.0,1633609665.85291,0.0005819797515869,0.0860569477081297
7,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,35786,443,0,0,0,0,3,880264544,6,35786,443,1514,1514,1514,1514.0,1514.0,0.0,-3.0,0.0,1514.0,1514.0,0.0,1480,1480,1480,1480.0,1480.0,0.0,-3.0,0.0,1480.0,1480.0,0.0,1633609665.853892,0.0009820461273193,0.087038993835449
8,1,0,0,1,2,1,1086,880264544,1120,64,1106,6,35786,443,0,0,0,0,3,880264544,6,35786,443,2634,1120,1514,1317.0,1317.0,0.0,-2.0,38809.0,1415.5,1218.5,197.0,2566,1086,1480,1283.0,1283.0,0.0,-2.0,38809.0,1381.5,1184.5,197.0,1633609665.853892,0.0,0.087038993835449
9,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,35786,443,0,0,0,0,3,880264544,6,35786,443,4148,1120,1514,1514.0,1382.6666666666667,-0.7071067811865487,-1.499999999999999,34496.88888888889,1514.0,1317.0,197.0,4046,1086,1480,1480.0,1348.6666666666667,-0.7071067811865487,-1.499999999999999,34496.88888888889,1480.0,1283.0,197.0,1633609665.856246,0.0023539066314697,0.0893929004669187
