Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,2,326,3232270643,360,223,346,6,443,35786,0,0,0,0,3,880264544,6,35786,443,426,66,360,213.0,213.0,0.0,-2.0,21609.0,286.5,139.5,147.0,358,32,326,179.0,179.0,0.0,-2.0,21609.0,252.5,105.5,147.0,1633609833.986183,0.0,0.0
1,1,0,0,1,2,1,20,880264544,54,64,40,6,35786,443,0,0,0,0,3,880264544,6,35786,443,480,54,360,66.0,160.0,0.7032948862756628,-1.5,20024.0,213.0,60.0,153.0,378,20,326,32.0,126.0,0.7032948862756628,-1.5,20024.0,179.0,26.0,153.0,1633609834.025776,0.0395929813385009,0.0395929813385009
2,1,0,0,1,2,1,320,880264544,354,64,340,6,35786,443,0,0,0,0,3,880264544,6,35786,443,834,54,360,210.0,208.5,-0.0018337401166509,-1.995926725228104,22074.75,355.5,63.0,292.5,698,20,326,176.0,174.5,-0.0018337401166509,-1.995926725228104,22074.75,321.5,29.0,292.5,1633609834.063671,0.0378952026367187,0.0774881839752196
3,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,35786,443,0,0,0,0,3,880264544,6,35786,443,2348,54,1514,354.0,469.6,1.276807559803269,-0.0429331607455241,290352.64,360.0,66.0,294.0,2178,20,1480,320.0,435.6,1.276807559803269,-0.0429331607455241,290352.64,326.0,32.0,294.0,1633609834.065144,0.0014729499816894,0.078961133956909
4,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,35786,443,0,0,0,0,3,880264544,6,35786,443,3862,54,1514,357.0,643.6666666666666,0.5899458650518067,-1.4999463693334794,393456.5555555555,1225.5,138.0,1087.5,3658,20,1480,323.0,609.6666666666666,0.5899458650518067,-1.4999463693334794,393456.5555555555,1191.5,104.0,1087.5,1633609834.065797,0.0006530284881591,0.0796141624450681
5,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,35786,443,0,0,0,0,3,880264544,6,35786,443,5376,54,1514,360.0,768.0,0.2009653612713448,-1.8496045304947448,430001.1428571429,1514.0,210.0,1304.0,5138,20,1480,326.0,734.0,0.2009653612713448,-1.8496045304947448,430001.1428571429,1480.0,176.0,1304.0,1633609834.066444,0.0006468296051025,0.0802609920501706
6,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,35786,443,0,0,0,0,3,880264544,6,35786,443,6890,54,1514,937.0,861.25,-0.0747985930207035,-1.9008655511946255,437119.9375,1514.0,282.0,1232.0,6618,20,1480,903.0,827.25,-0.0747985930207035,-1.9008655511946255,437119.9375,1480.0,248.0,1232.0,1633609834.066444,0.0,0.0802609920501706
7,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,35786,443,0,0,0,0,3,880264544,6,35786,443,8404,54,1514,1514.0,933.7777777777778,-0.2915584809033536,-1.8291067283321167,430633.2839506173,1514.0,354.0,1160.0,8098,20,1480,1480.0,899.7777777777778,-0.2915584809033536,-1.8291067283321167,430633.2839506173,1480.0,320.0,1160.0,1633609834.066444,0.0,0.0802609920501706
8,1,0,0,1,2,1,1086,880264544,1120,64,1106,6,35786,443,0,0,0,0,3,880264544,6,35786,443,9524,54,1514,1317.0,952.4,-0.3904153284664457,-1.677722759743096,390691.04,1514.0,355.5,1158.5,9184,20,1480,1283.0,918.4,-0.3904153284664457,-1.677722759743096,390691.04,1480.0,321.5,1158.5,1633609834.073993,0.0075490474700927,0.0878100395202633
9,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,35786,443,0,0,0,0,3,880264544,6,35786,443,11038,54,1514,1514.0,1003.4545454545456,-0.5484231140327516,-1.5350488994533662,381239.3388429752,1514.0,357.0,1157.0,10664,20,1480,1480.0,969.4545454545456,-0.5484231140327516,-1.5350488994533662,381239.3388429752,1480.0,323.0,1157.0,1633609834.074612,0.0006189346313476,0.0884289741516109
10,1,0,0,1,2,1,1430,880264544,1464,64,1450,6,35786,443,0,0,0,0,3,880264544,6,35786,443,12502,54,1514,1489.0,1041.8333333333333,-0.6890067003075344,-1.3615862503877998,365671.6388888888,1514.0,358.5,1155.5,12094,20,1480,1455.0,1007.8333333333334,-0.689006700307535,-1.3615862503877991,365671.6388888888,1480.0,324.5,1155.5,1633609834.085212,0.0106000900268554,0.0990290641784663
11,1,0,0,1,1,2,20,3232270643,54,223,40,6,443,35786,0,0,0,0,3,880264544,6,35786,443,12556,54,1514,1464.0,965.8461538461538,-0.4686301042792727,-1.644285458097008,406831.6686390533,1514.0,354.0,1160.0,12114,20,1480,1430.0,931.8461538461538,-0.4686301042792727,-1.644285458097008,406831.6686390533,1480.0,320.0,1160.0,1633609834.092231,0.00701904296875,0.1060481071472163
12,1,0,0,1,1,2,20,3232270643,54,223,40,6,443,35786,0,0,0,0,3,880264544,6,35786,443,12610,54,1514,1292.0,900.7142857142857,-0.2885999291500425,-1.797962240335046,432920.3469387756,1514.0,138.0,1376.0,12134,20,1480,1258.0,866.7142857142857,-0.2885999291500425,-1.797962240335046,432920.3469387756,1480.0,104.0,1376.0,1633609834.09409,0.0018589496612548,0.1079070568084711
