Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,2,1,302,880264544,336,64,322,6,35786,443,0,0,0,0,6,880264544,6,35786,443,1269,54,336,54.0,97.6153846153846,2.1739361797897896,3.633763796576001,6235.621301775148,100.0,54.0,46.0,827,20,302,20.0,63.61538461538461,2.1739361797897896,3.633763796576001,6235.621301775148,66.0,20.0,46.0,1633610577.990971,0.0,0.0
1,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,35786,443,0,0,0,0,6,880264544,6,35786,443,2783,54,1514,60.0,198.78571428571428,3.107448151470644,8.100688457349042,138850.88265306124,100.0,54.0,46.0,2307,20,1480,26.0,164.78571428571428,3.107448151470644,8.100688457349042,138850.88265306124,66.0,20.0,46.0,1633610577.990971,0.0,0.0
2,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,35786,443,0,0,0,0,6,880264544,6,35786,443,4297,54,1514,66.0,286.46666666666664,2.0655120816390857,2.4112498796480413,237225.4488888889,148.5,54.0,94.5,3787,20,1480,32.0,252.46666666666667,2.0655120816390857,2.4112498796480413,237225.4488888889,114.5,20.0,94.5,1633610577.997584,0.00661301612854,0.00661301612854
3,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,35786,443,0,0,0,0,6,880264544,6,35786,443,5811,54,1514,79.0,363.1875,1.5439870524778665,0.463620783985895,310690.15234375,231.75,54.0,177.75,5267,20,1480,45.0,329.1875,1.5439870524778665,0.463620783985895,310690.15234375,197.75,20.0,177.75,1633610577.997584,0.0,0.00661301612854
4,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,35786,443,0,0,0,0,6,880264544,6,35786,443,7325,54,1514,92.0,430.88235294117646,1.205893288641356,-0.4914938375799562,365735.7508650518,336.0,54.0,282.0,6747,20,1480,58.0,396.88235294117646,1.205893288641356,-0.4914938375799562,365735.7508650518,302.0,20.0,282.0,1633610577.998136,0.0005519390106201,0.0071649551391601
5,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,35786,443,0,0,0,0,6,880264544,6,35786,443,8839,54,1514,96.0,491.05555555555554,0.9583564865415654,-1.0400318146669478,406970.9413580247,1219.5,54.0,1165.5,8227,20,1480,62.0,457.05555555555554,0.9583564865415654,-1.0400318146669478,406970.9413580247,1185.5,20.0,1165.5,1633610577.998136,0.0,0.0071649551391601
6,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,35786,443,0,0,0,0,6,880264544,6,35786,443,10353,54,1514,100.0,544.8947368421053,0.7637951664156981,-1.38256958886645,437727.2520775623,1514.0,54.0,1460.0,9707,20,1480,66.0,510.89473684210526,0.7637951664156982,-1.3825695888664498,437727.2520775623,1480.0,20.0,1460.0,1633610577.998136,0.0,0.0071649551391601
7,1,0,0,1,2,1,1480,880264544,1514,64,1500,6,35786,443,0,0,0,0,6,880264544,6,35786,443,11867,54,1514,100.0,593.35,0.6036187998846857,-1.6063853562355364,460451.2275,1514.0,54.0,1460.0,11187,20,1480,66.0,559.35,0.6036187998846857,-1.6063853562355364,460451.2275,1480.0,20.0,1460.0,1633610577.998826,0.0006899833679199,0.00785493850708
8,1,0,0,1,2,1,1044,880264544,1078,64,1064,6,35786,443,0,0,0,0,6,880264544,6,35786,443,1078,1078,1078,1078.0,1078.0,0.0,-3.0,0.0,1078.0,1078.0,0.0,1044,1044,1044,1044.0,1044.0,0.0,-3.0,0.0,1044.0,1044.0,0.0,1633610578.001449,0.0026230812072753,0.0104780197143553
9,1,0,0,1,1,2,20,3232270643,54,223,40,6,443,35786,0,0,0,0,6,880264544,6,35786,443,1132,54,1078,566.0,566.0,0.0,-2.0,262144.0,822.0,310.0,512.0,1064,20,1044,532.0,532.0,0.0,-2.0,262144.0,788.0,276.0,512.0,1633610578.019678,0.0182290077209472,0.0287070274353025
10,1,0,0,1,1,2,20,3232270643,54,223,40,6,443,35786,0,0,0,0,6,880264544,6,35786,443,1186,54,1078,54.0,395.3333333333333,0.7071067811865478,-1.4999999999999996,233016.8888888889,566.0,54.0,512.0,1084,20,1044,20.0,361.3333333333333,0.7071067811865478,-1.4999999999999996,233016.8888888889,532.0,20.0,512.0,1633610578.020032,0.0003538131713867,0.0290608406066892
11,1,0,0,1,1,2,20,3232270643,54,223,40,6,443,35786,0,0,0,0,6,880264544,6,35786,443,1240,54,1078,54.0,310.0,1.1547005383792517,-0.6666666666666665,196608.0,310.0,54.0,256.0,1104,20,1044,20.0,276.0,1.1547005383792517,-0.6666666666666665,196608.0,276.0,20.0,256.0,1633610578.026631,0.0065991878509521,0.035660028457641296
12,1,0,0,1,1,2,20,3232270643,54,223,40,6,443,35786,0,0,0,0,6,880264544,6,35786,443,1294,54,1078,54.0,258.8,1.4999999999999996,0.2499999999999986,167772.16000000006,54.0,54.0,0.0,1124,20,1044,20.0,224.8,1.4999999999999996,0.2499999999999986,167772.16000000006,20.0,20.0,0.0,1633610578.026687,5.5789947509765625e-05,0.03571581840515106
13,1,0,0,1,1,2,20,3232270643,54,223,40,6,443,35786,0,0,0,0,6,880264544,6,35786,443,1348,54,1078,54.0,224.66666666666663,1.788854381999831,1.1999999999999993,145635.5555555556,54.0,54.0,0.0,1144,20,1044,20.0,190.66666666666663,1.788854381999831,1.1999999999999993,145635.5555555556,20.0,20.0,0.0,1633610578.027113,0.0004260540008544,0.036141872406005464
