Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,2,326,3232270643,360,223,346,6,443,41427,0,0,0,2,31,3232270643,6,443,443,360,360,360,360.0,360.0,0.0,-3.0,0.0,360.0,360.0,0.0,1497,20,454,20.0,74.85,2.4557513117549394,4.857784357625601,12566.227499999995,62.25,20.0,42.25,1633608301.386239,0.0,0.0
1,1,0,0,1,2,1,20,880264279,54,64,40,6,41427,443,0,0,0,2,32,3232270643,6,443,443,414,54,360,207.0,207.0,0.0,-2.0,23409.0,283.5,130.5,153.0,20,20,20,20.0,20.0,0.0,-3.0,0.0,20.0,20.0,0.0,1633608301.425688,0.0394489765167236,0.0394489765167236
2,1,0,0,1,2,1,302,880264279,336,64,322,6,41427,443,0,0,0,2,32,3232270643,6,443,443,750,54,360,336.0,250.0,-0.6913154205517822,-1.5,19304.0,348.0,195.0,153.0,322,20,302,161.0,161.0,0.0,-2.0,19881.0,231.5,90.5,141.0,1633608301.461741,0.0360529422760009,0.0755019187927245
3,1,0,0,1,2,1,1480,880264279,1514,64,1500,6,41427,443,0,0,0,2,32,3232270643,6,443,443,2264,54,1514,348.0,566.0,0.9898883268761384,-0.7668224030166075,314046.0,648.5,265.5,383.0,1802,20,1480,302.0,600.6666666666666,0.603105009345928,-1.4999999999999996,399867.5555555555,891.0,161.0,730.0,1633608301.461741,0.0,0.0755019187927245
4,1,0,0,1,2,1,1480,880264279,1514,64,1500,6,41427,443,0,0,0,2,32,3232270643,6,443,443,3778,54,1514,360.0,755.6,0.315185631147922,-1.770334598282811,395029.44000000006,1514.0,336.0,1178.0,3282,20,1480,891.0,820.5,-0.0662794449659025,-1.9121210285266936,444880.75,1480.0,231.5,1248.5,1633608301.462444,0.0007030963897705,0.07620501518249499
5,1,0,0,1,2,1,1480,880264279,1514,64,1500,6,41427,443,0,0,0,2,32,3232270643,6,443,443,5292,54,1514,937.0,882.0,-0.0734871947211038,-1.8927297610356757,409076.0,1514.0,342.0,1172.0,4762,20,1480,1480.0,952.4,-0.4648826578300202,-1.7105979074047644,425495.04,1480.0,302.0,1178.0,1633608301.462444,0.0,0.07620501518249499
6,1,0,0,1,2,1,1480,880264279,1514,64,1500,6,41427,443,0,0,0,2,32,3232270643,6,443,443,6806,54,1514,1514.0,972.2857142857144,-0.353884524096863,-1.7829627900055771,399545.6326530612,1514.0,348.0,1166.0,6242,20,1480,1480.0,1040.3333333333333,-0.7602009143718614,-1.3504594739373998,393240.5555555556,1480.0,596.5,883.5,1633608301.462444,0.0,0.07620501518249499
7,1,0,0,1,2,1,1480,880264279,1514,64,1500,6,41427,443,0,0,0,2,32,3232270643,6,443,443,8320,54,1514,1514.0,1040.0,-0.5774778150764333,-1.5783481758929163,381699.0,1514.0,354.0,1160.0,7722,20,1480,1480.0,1103.142857142857,-1.00046583661947,-0.926019697202825,360733.55102040817,1480.0,891.0,589.0,1633608301.462444,0.0,0.07620501518249499
8,1,0,0,1,2,1,1480,880264279,1514,64,1500,6,41427,443,0,0,0,2,32,3232270643,6,443,443,9834,54,1514,1514.0,1092.6666666666667,-0.7660020410546962,-1.3257491547738498,361478.2222222223,1514.0,360.0,1154.0,9202,20,1480,1480.0,1150.25,-1.2061998316587748,-0.4691890147139719,331175.4375,1480.0,1185.5,294.5,1633608301.462444,0.0,0.07620501518249499
9,1,0,0,1,2,1,1480,880264279,1514,64,1500,6,41427,443,0,0,0,2,32,3232270643,6,443,443,11348,54,1514,1514.0,1134.8,-0.930633055691894,-1.0455224488277717,341307.36,1514.0,648.5,865.5,10682,20,1480,1480.0,1186.888888888889,-1.3880640640770137,0.0062395732612499,305117.43209876545,1480.0,1480.0,0.0,1633608301.462444,0.0,0.07620501518249499
10,1,0,0,1,2,1,1041,880264279,1075,64,1061,6,41427,443,0,0,0,2,32,3232270643,6,443,443,12423,54,1514,1514.0,1129.3636363636365,-0.945509831615528,-0.8916169839956369,310574.9586776859,1514.0,717.5,796.5,11723,20,1480,1480.0,1172.3,-1.366855192629435,0.1384384521280246,276521.21,1480.0,1150.75,329.25,1633608301.472177,0.009732961654663,0.085937976837158
11,1,0,0,1,1,2,20,3232270643,54,223,40,6,443,41427,0,0,0,2,32,3232270643,6,443,443,12477,54,1514,1514.0,1039.75,-0.6699507313462393,-1.382279025201401,373030.3541666667,1514.0,354.0,1160.0,11743,20,1480,1480.0,1067.5454545454545,-0.9453239568410834,-0.9404154121462877,361118.0661157025,1480.0,671.5,808.5,1633608301.490629,0.0184519290924072,0.1043899059295652
12,1,0,0,1,1,2,20,3232270643,54,223,40,6,443,41427,0,0,0,2,32,3232270643,6,443,443,12531,54,1514,1514.0,963.9230769230768,-0.452012202636209,-1.655498938078245,413332.3786982249,1514.0,336.0,1178.0,11763,20,1480,1480.0,980.25,-0.6531863886308983,-1.4510264162315238,414850.3541666667,1480.0,231.5,1248.5,1633608301.490685,5.602836608886719e-05,0.10444593429565406
13,1,0,0,1,1,2,20,3232270643,54,223,40,6,443,41427,0,0,0,2,32,3232270643,6,443,443,12585,54,1514,1294.5,898.9285714285714,-0.2736807583578265,-1.8027569974092503,438724.3520408164,1514.0,124.5,1389.5,11783,20,1480,1480.0,906.3846153846154,-0.4310969436100837,-1.7142984689185448,448411.9289940828,1480.0,20.0,1460.0,1633608301.491557,0.0008718967437744,0.10531783103942846
14,1,0,0,1,1,2,20,3232270643,54,223,40,6,443,41427,0,0,0,2,32,3232270643,6,443,443,12639,54,1514,1075.0,842.6,-0.1228277461203329,-1.874177540813999,453896.7733333333,1514.0,54.0,1460.0,11803,20,1480,1260.5,843.0714285714286,-0.25167731505842,-1.8499340736777723,468493.78061224485,1480.0,20.0,1460.0,1633608301.491613,5.602836608886719e-05,0.10537385940551733
15,1,0,0,1,1,2,20,3232270643,54,223,40,6,443,41427,0,0,0,2,32,3232270643,6,443,443,12693,54,1514,717.5,793.3125,0.0081623766467493,-1.897044815903956,461967.08984375,1514.0,54.0,1460.0,11823,20,1480,1041.0,788.2,-0.1006602433954597,-1.9114559268909157,479413.09333333344,1480.0,20.0,1460.0,1633608301.491645,3.218650817871094e-05,0.10540604591369604
16,1,0,0,1,1,2,20,3232270643,54,223,40,6,443,41427,0,0,0,2,32,3232270643,6,443,443,12747,54,1514,360.0,749.8235294117648,0.1242285987164844,-1.88712820772498,465053.2041522492,1514.0,54.0,1460.0,11843,20,1480,671.5,740.1875,0.0302004072350391,-1.9262128676573904,484027.77734375,1480.0,20.0,1460.0,1633608301.49201,0.0003650188446044,0.10577106475830043
17,1,0,0,1,1,2,20,3232270643,54,223,40,6,443,41427,0,0,0,2,32,3232270643,6,443,443,12801,54,1514,348.0,711.1666666666666,0.2287115490872492,-1.854093686396592,464620.91666666674,1514.0,54.0,1460.0,11863,20,1480,302.0,697.8235294117648,0.1460576493206466,-1.909597518868594,484270.85121107264,1480.0,20.0,1460.0,1633608301.492065,5.4836273193359375e-05,0.1058259010314938
18,1,0,0,1,1,2,20,3232270643,54,223,40,6,443,41427,0,0,0,2,32,3232270643,6,443,443,12855,54,1514,336.0,676.578947368421,0.32395952500235,-1.8041706036578693,461700.77008310246,1514.0,54.0,1460.0,11883,20,1480,161.0,660.1666666666666,0.2503295747339856,-1.8709249359615692,481473.5833333333,1480.0,20.0,1460.0,1633608301.492097,3.1948089599609375e-05,0.1058578491210934
