Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2998,54,363,123.0,166.55555555555554,0.4334117179595539,-1.0970054278473815,10393.691358024693,230.0,60.0,170.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633692344.582025,0.0,0.0
1,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,1,0,3,875292917,6,61220,8886,3228,54,363,123.0,169.89473684210526,0.3453825934970683,-1.1149682122345546,10047.357340720222,230.0,60.0,170.0,2504,20,329,196.0,156.5,0.0921083606756245,-1.0314037772724858,9242.25,205.25,89.0,116.25,1633692347.334651,2.7526259422302246,2.7526259422302246
2,1,0,0,0,2,3,329,3232270655,363,223,349,6,8886,61220,0,0,1,0,3,875292917,6,61220,61220,3591,54,363,176.5,179.55,0.3005522047787861,-1.203990508577798,11316.2475,239.25,60.0,179.25,2833,20,329,196.0,166.64705882352942,0.0598428380505285,-1.1185410135182483,10345.993079584774,233.0,89.0,144.0,1633692347.784255,0.4496040344238281,3.2022299766540527
3,1,0,0,0,2,3,313,3232270655,347,223,333,6,8886,61220,0,0,1,0,3,3232270655,6,8886,61220,347,347,347,347.0,347.0,0.0,-3.0,0.0,347.0,347.0,0.0,3146,20,329,196.0,174.77777777777777,-0.0287204757028752,-1.2104283985445676,10895.061728395063,233.0,89.0,144.0,1633692347.786974,0.0027189254760742,3.204948902130127
4,1,0,0,0,3,2,20,875292917,54,255,40,6,61220,8886,0,0,1,0,3,875292917,6,61220,61220,401,54,347,200.5,200.5,0.0,-2.0,21462.25,273.75,127.25,146.5,3166,20,329,196.0,166.6315789473684,0.0452200793143423,-1.2756717007820544,11516.127423822712,233.0,89.0,144.0,1633692347.889108,0.1021339893341064,3.3070828914642334
5,1,0,0,0,3,2,233,875292917,267,255,253,6,61220,8886,0,0,1,0,3,875292917,6,61220,8886,668,54,347,267.0,222.66666666666663,-0.4916976432374307,-1.5,15290.888888888889,307.0,160.5,146.5,3399,20,329,196.0,169.95,-0.0368013637446811,-1.2458971148604965,11149.5475,233.0,89.0,144.0,1633692347.928103,0.0389950275421142,3.3460779190063477
6,1,0,0,0,2,3,89,3232270655,123,223,109,6,8886,61220,0,0,1,0,3,875292917,6,61220,61220,791,54,347,195.0,197.75,0.0436267484077886,-1.624954029228779,13330.6875,287.0,105.75,181.25,89,89,89,89.0,89.0,0.0,-3.0,0.0,89.0,89.0,0.0,1633692348.017263,0.0891599655151367,3.4352378845214844
7,1,0,0,0,3,2,233,875292917,267,255,253,6,61220,8886,0,0,1,0,3,875292917,6,61220,8886,1058,54,347,267.0,211.6,-0.2924943926662925,-1.4183878944569146,11431.84,267.0,123.0,144.0,322,89,233,161.0,161.0,0.0,-2.0,5184.0,197.0,125.0,72.0,1633692348.170514,0.1532511711120605,3.588489055633545
8,1,0,0,0,2,3,89,3232270655,123,223,109,6,8886,61220,0,0,1,0,3,875292917,6,61220,61220,1181,54,347,195.0,196.83333333333331,0.0545730231290994,-1.4731126593413997,10616.805555555557,267.0,123.0,144.0,411,89,233,89.0,137.0,0.7071067811865475,-1.5,4608.0,161.0,89.0,72.0,1633692348.259997,0.0894827842712402,3.677971839904785
9,1,0,0,0,3,2,20,875292917,54,255,40,6,61220,8886,0,0,1,0,3,875292917,6,61220,8886,1235,54,347,123.0,176.42857142857142,0.2828972111198253,-1.4636253979878326,11598.244897959185,267.0,88.5,178.5,431,20,233,89.0,107.75,0.68250565239593,-0.8934761768571415,6022.6875,125.0,71.75,53.25,1633692348.549231,0.2892341613769531,3.9672060012817383
10,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,1,0,3,875292917,6,61220,8886,1465,54,347,176.5,183.125,0.1101960417061416,-1.3931086802331822,10462.359375,267.0,105.75,161.25,627,20,233,89.0,125.4,0.1398860199745114,-1.4456136371939912,6064.240000000001,196.0,89.0,107.0,1633692352.334866,3.785634994506836,7.752840995788574
11,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,2,0,3,875292917,6,61220,8886,1525,54,347,123.0,169.44444444444446,0.3058341241534777,-1.3830544855299924,10797.135802469136,267.0,60.0,207.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633692354.581676,2.246809959411621,9.999650955200195
12,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,2,0,3,875292917,6,61220,8886,1755,54,347,176.5,175.5,0.1472157499188251,-1.363647320821881,10047.45,257.75,75.75,182.0,823,20,233,142.5,137.16666666666666,-0.2083783062943619,-1.447478897286252,5745.805555555556,196.0,89.0,107.0,1633692357.335861,2.7541849613189697,12.753835916519165
