Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,0,0,3,875292917,6,61220,8886,980,60,230,230.0,196.0,-1.5,0.25,4624.0,230.0,230.0,0.0,3129,20,329,196.0,164.68421052631578,-0.1385024052864812,-0.8563049187503462,8188.216066481996,214.5,89.0,125.5,1633692532.336682,0.0,0.0
1,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,3,875292917,6,61220,8886,1040,60,230,230.0,173.33333333333334,-0.7071067811865477,-1.4999999999999996,6422.222222222223,230.0,102.5,127.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633692534.59014,2.253458023071289,2.253458023071289
2,1,0,0,0,2,3,329,3232270655,363,223,349,6,8886,61220,0,0,1,0,3,875292917,6,61220,61220,1403,60,363,230.0,200.42857142857144,-0.1648630475063399,-0.8479453035954392,9909.673469387755,230.0,145.0,85.0,3458,20,329,196.0,172.9,-0.1154237279561404,-0.8980070453189604,9061.289999999995,233.0,89.0,144.0,1633692536.335815,1.7456748485565186,3.9991328716278076
3,1,0,0,0,3,2,249,875292917,283,255,269,6,61220,8886,0,0,1,0,3,875292917,6,61220,8886,1686,60,363,230.0,210.75,-0.3990118261451662,-0.7473442954323439,9416.6875,243.25,187.5,55.75,249,249,249,249.0,249.0,0.0,-3.0,0.0,249.0,249.0,0.0,1633692536.447302,0.1114871501922607,4.110620021820068
4,1,0,0,0,2,3,89,3232270655,123,223,109,6,8886,61220,0,0,1,0,3,875292917,6,61220,61220,1809,60,363,230.0,201.0,-0.1503381999811051,-0.9152460240053856,9130.888888888889,230.0,123.0,107.0,338,89,249,169.0,169.0,0.0,-2.0,6400.0,209.0,129.0,80.0,1633692536.536927,0.0896248817443847,4.200244903564453
5,1,0,0,0,3,2,20,875292917,54,255,40,6,61220,8886,0,0,1,0,3,875292917,6,61220,8886,1863,54,363,230.0,186.3,0.0152672237299576,-1.1523490373610503,10162.61,230.0,75.75,154.25,358,20,249,89.0,119.33333333333331,0.442737203361044,-1.4999999999999996,9200.222222222224,169.0,54.5,114.5,1633692536.6148,0.0778729915618896,4.278117895126343
6,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,1,0,3,875292917,6,61220,8886,2093,54,363,230.0,190.27272727272728,-0.0990782004927439,-1.0253674199379106,9396.561983471074,230.0,91.5,138.5,554,20,249,142.5,138.5,-0.0858958525147206,-1.5820086531963458,8002.25,209.25,71.75,137.5,1633692537.336529,0.721729040145874,4.999846935272217
7,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,1,0,3,875292917,6,61220,8886,2323,54,363,230.0,193.58333333333331,-0.2012641771617178,-0.8812058862505587,8734.076388888889,230.0,107.25,122.75,750,20,249,196.0,150.0,-0.436399380286596,-1.3159694826674435,6930.8,196.0,89.0,107.0,1633692542.333588,4.997058868408203,9.99690580368042
8,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,2,0,3,875292917,6,61220,8886,2383,54,363,230.0,183.30769230769232,-0.0514161325965982,-1.0942793389385197,9329.2899408284,230.0,60.0,170.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633692544.590288,2.256700038909912,12.253605842590332
9,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,2,0,3,875292917,6,61220,8886,2613,54,363,230.0,186.64285714285717,-0.1499098469353224,-0.9964153398884448,8807.515306122448,230.0,75.75,154.25,946,20,249,196.0,157.66666666666666,-0.7056224282351782,-0.9303112685518088,6069.555555555556,196.0,115.75,80.25,1633692547.336264,2.745975971221924,14.999581813812256
