Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,2,313,3232270655,347,224,333,6,8886,4659,0,0,0,0,3,4294967295,6,49154,6667,3142,54,347,230.0,184.8235294117647,-0.035731751540807,-1.2663799428581988,9821.792387543252,230.0,60.0,170.0,509,196,313,254.5,254.5,0.0,-2.0,3422.25,283.75,225.25,58.5,1633633602.351119,0.0,0.0
1,1,0,0,0,2,2,233,875292917,267,255,253,6,4659,8886,0,0,0,0,3,4294967295,6,49154,6667,3409,54,347,230.0,189.38888888888889,-0.1418006231432575,-1.256274373238082,9630.45987654321,257.75,75.75,182.0,742,196,313,233.0,247.33333333333331,0.4150224034673512,-1.5000000000000004,2384.222222222222,273.0,214.5,58.5,1633633602.397712,0.0465929508209228,0.0465929508209228
2,1,0,0,0,2,2,89,3232270655,123,224,109,6,8886,4659,0,0,0,0,3,4294967295,6,49154,6667,3532,54,347,230.0,185.8947368421053,-0.0491360012189455,-1.2482024034724415,9343.357340720224,248.5,91.5,157.0,831,89,313,214.5,207.75,-0.2363642913900064,-1.088072688630938,6488.6875,253.0,169.25,83.75,1633633602.484497,0.086785078048706,0.1333780288696288
3,1,0,0,0,2,2,20,875292917,54,255,40,6,4659,8886,0,0,0,0,3,875292917,6,49154,6667,3586,54,347,230.0,179.3,0.0370007769202437,-1.312988278854203,9702.51,239.25,60.0,179.25,851,20,313,196.0,170.2,-0.1325594162396637,-1.3219580461957965,10830.96,233.0,89.0,144.0,1633633602.669756,0.1852588653564453,0.3186368942260741
4,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,0,0,3,4294967295,6,49154,6667,230,230,230,230.0,230.0,0.0,-3.0,0.0,230.0,230.0,0.0,1047,20,313,196.0,174.5,-0.2749060724823544,-0.9887409071389376,9118.25,223.75,115.75,108.0,1633633602.81362,0.1438641548156738,0.46250104904174794
5,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,3,4294967295,6,49154,6667,290,60,230,145.0,145.0,0.0,-2.0,7225.0,187.5,102.5,85.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633633604.419428,1.6058080196380615,2.0683090686798096
6,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,1,0,3,4294967295,6,49154,6667,520,60,230,230.0,173.33333333333334,-0.7071067811865477,-1.4999999999999996,6422.222222222223,230.0,145.0,85.0,1243,20,313,196.0,177.57142857142858,-0.3955960141487546,-0.6390736838602615,7872.244897959184,214.5,142.5,72.0,1633633607.814647,3.395218849182129,5.4635279178619385
7,1,0,0,0,2,2,89,875292917,123,255,109,6,4659,8886,0,0,1,0,3,4294967295,6,49154,6667,643,60,230,176.5,160.75,-0.2677570168431473,-1.6513481562323344,5291.6875,230.0,107.25,122.75,1332,20,313,196.0,166.5,-0.1026506012822672,-0.8850823573869295,7746.25,205.25,89.0,116.25,1633633611.967682,4.153034925460815,9.616562843322754
8,1,0,0,0,2,2,89,3232270655,123,224,109,6,8886,4659,0,0,1,0,3,4294967295,6,49154,6667,766,60,230,123.0,153.2,0.0277357997506468,-1.5259763172019831,4461.360000000001,230.0,123.0,107.0,1421,20,313,196.0,157.88888888888889,0.1235561306469236,-0.9219054057695129,7478.765432098766,196.0,89.0,107.0,1633633612.053163,0.0854811668395996,9.702044010162354
9,1,0,0,0,2,2,20,875292917,54,255,40,6,4659,8886,0,0,1,0,3,875292917,6,49154,6667,820,54,230,123.0,136.66666666666666,0.278305247444937,-1.497349542360211,5084.555555555556,203.25,75.75,127.5,1441,20,313,142.5,144.1,0.2083244506584455,-1.035536772062382,8442.09,196.0,89.0,107.0,1633633612.190641,0.1374778747558593,9.839521884918213
10,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,1,0,3,4294967295,6,49154,6667,1050,54,230,123.0,150.0,-0.041868154048204,-1.6675590244892593,5424.857142857143,230.0,91.5,138.5,1637,20,313,196.0,148.8181818181818,0.0679999444335078,-0.9799858567335002,7897.239669421488,196.0,89.0,107.0,1633633612.811606,0.6209650039672852,10.460486888885498
11,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,2,0,3,4294967295,6,49154,6667,1110,54,230,123.0,138.75,0.2028770710493284,-1.6737472395056,5632.6875,230.0,60.0,170.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633633614.419455,1.60784912109375,12.068336009979248
