Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,0,0,3,4294967295,6,49154,6667,1340,54,230,123.0,148.88888888888889,-0.0397486565576778,-1.757554160745978,5829.209876543209,230.0,60.0,170.0,1833,20,313,196.0,152.75,-0.0548128706054693,-0.8913266871826679,7409.1875,196.0,89.0,107.0,1633633482.815703,0.0,0.0
1,1,0,0,0,2,2,313,3232270655,347,224,333,6,8886,4659,0,0,0,0,3,4294967295,6,49154,6667,1687,54,347,176.5,168.7,0.2821962538993095,-1.017013005820336,8778.609999999999,230.0,75.75,154.25,2146,20,313,196.0,165.07692307692307,-0.047053992808501,-0.9807191171075496,8662.686390532544,196.0,89.0,107.0,1633633482.863925,0.0482220649719238,0.0482220649719238
2,1,0,0,0,2,2,20,875292917,54,255,40,6,4659,8886,0,0,0,0,3,4294967295,6,49154,6667,1741,54,347,123.0,158.27272727272728,0.4153130900189478,-1.0092647966424468,9067.8347107438,230.0,60.0,170.0,2166,20,313,196.0,154.71428571428572,0.0449709432246445,-1.1151198221660004,9439.918367346938,196.0,89.0,107.0,1633633482.867799,0.0038740634918212,0.052096128463745
3,1,0,0,0,2,2,233,875292917,267,255,253,6,4659,8886,0,0,0,0,3,875292917,6,49154,6667,2008,54,347,176.5,167.33333333333334,0.2086910072312323,-1.2282465727605287,9215.222222222224,230.0,60.0,170.0,2399,20,313,196.0,159.93333333333334,-0.0834921324635876,-1.1145459842527208,9191.928888888888,214.5,89.0,125.5,1633633482.912802,0.0450029373168945,0.0970990657806395
4,1,0,0,0,2,2,89,3232270655,123,224,109,6,8886,4659,0,0,0,0,3,875292917,6,49154,6667,2131,54,347,123.0,163.92307692307693,0.3137143652204044,-1.1001386730475016,8645.917159763312,230.0,60.0,170.0,2488,20,313,196.0,155.5,0.0324867495681809,-1.1069193819804244,8912.25,205.25,89.0,116.25,1633633482.999145,0.0863430500030517,0.18344211578369118
5,1,0,0,0,2,2,20,875292917,54,255,40,6,4659,8886,0,0,0,0,3,875292917,6,49154,8886,2185,54,347,123.0,156.07142857142858,0.4191669346765793,-1.0766297967798144,8829.780612244898,230.0,60.0,170.0,2508,20,313,196.0,147.52941176470588,0.1148744858434774,-1.1785178556165394,9404.484429065744,196.0,89.0,107.0,1633633483.140582,0.1414370536804199,0.3248791694641111
6,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,3,875292917,6,49154,8886,2245,54,347,123.0,149.66666666666666,0.5257206960036706,-1.010414665505156,8815.422222222222,230.0,60.0,170.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633633484.423607,1.2830250263214111,1.6079041957855222
7,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,1,0,3,875292917,6,49154,6667,2475,54,347,123.0,154.6875,0.385868628313085,-1.1254374616911498,8642.58984375,230.0,60.0,170.0,2704,20,313,196.0,150.22222222222223,0.0380372227795511,-1.1291794478044694,9005.283950617282,196.0,89.0,107.0,1633633487.815792,3.392184972763061,5.000089168548583
8,1,0,0,0,2,2,89,875292917,123,255,109,6,4659,8886,0,0,1,0,3,875292917,6,49154,8886,2598,54,347,123.0,152.8235294117647,0.4529757676548397,-0.999565847537871,8189.792387543253,230.0,60.0,170.0,2793,20,313,196.0,147.0,0.1265634989660632,-1.0889497840538958,8718.21052631579,196.0,89.0,107.0,1633633491.963687,4.147894859313965,9.147984027862549
9,1,0,0,0,2,2,89,3232270655,123,224,109,6,8886,4659,0,0,1,0,3,875292917,6,49154,8886,2721,54,347,123.0,151.16666666666666,0.5161289010852179,-0.8698372049543961,7781.472222222223,230.0,60.0,170.0,2882,20,313,142.5,144.1,0.2083244506584455,-1.035536772062383,8442.090000000002,196.0,89.0,107.0,1633633492.049048,0.0853610038757324,9.233345031738281
10,1,0,0,0,2,2,20,875292917,54,255,40,6,4659,8886,0,0,1,0,3,875292917,6,49154,8886,2775,54,347,123.0,146.05263157894737,0.587166825770283,-0.821443100426273,7842.681440443214,230.0,60.0,170.0,20,20,20,20.0,20.0,0.0,-3.0,0.0,20.0,20.0,0.0,1633633492.140378,0.0913300514221191,9.3246750831604
11,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,1,0,3,875292917,6,49154,8886,3005,54,347,123.0,150.25,0.4642288683669706,-0.9606928030542076,7785.2875,230.0,60.0,170.0,216,20,196,108.0,108.0,0.0,-2.0,7744.0,152.0,64.0,88.0,1633633492.813683,0.6733050346374512,9.997980117797852
12,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,2,0,3,875292917,6,49154,8886,60,60,60,60.0,60.0,0.0,-3.0,0.0,60.0,60.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633633494.423954,1.6102709770202637,11.608251094818115
