Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,0,0,3,875292917,6,49154,8886,1922,54,267,176.5,160.16666666666666,-0.1171074617390114,-1.7238889892090894,7411.972222222223,230.0,58.5,171.5,893,20,196,196.0,148.83333333333334,-0.954893723027484,-0.813445664770974,4846.13888888889,196.0,115.75,80.25,1633693517.327591,0.0,0.0
1,1,0,0,0,2,3,313,3232270655,347,224,333,6,8886,61220,0,0,0,0,3,875292917,6,49154,8886,2269,54,347,230.0,174.53846153846155,0.030973849940135,-1.327995989954571,9320.402366863906,230.0,60.0,170.0,1206,20,313,196.0,172.28571428571428,-0.2818778217529133,-0.4821449083741957,7453.918367346939,196.0,142.5,53.5,1633693521.232371,3.904780149459839,3.904780149459839
2,1,0,0,0,2,3,329,3232270655,363,224,349,6,8886,61220,0,0,0,0,3,875292917,6,49154,8886,2632,54,363,230.0,188.0,0.0492604757898144,-1.2684812447478475,11010.42857142857,257.75,75.75,182.0,1535,20,329,196.0,191.875,-0.256098092309708,-0.7099068600416936,9208.359375,225.25,169.25,56.0,1633693521.233289,0.000917911529541,3.90569806098938
3,1,0,0,0,3,2,20,875292917,54,255,40,6,61220,8886,0,0,0,0,3,875292917,6,49154,8886,2686,54,363,230.0,179.06666666666666,0.1634424484513338,-1.3125859063767926,11393.662222222223,248.5,57.0,191.5,1555,20,329,196.0,172.77777777777777,-0.1044866993266838,-1.0871167996984017,11102.83950617284,196.0,89.0,107.0,1633693521.235672,0.0023829936981201,3.9080810546875
4,1,0,0,0,3,2,20,875292917,54,255,40,6,61220,8886,0,0,0,0,3,875292917,6,49154,8886,2740,54,363,176.5,171.25,0.2694355479708123,-1.313051670965365,11598.0625,239.25,54.0,185.25,1575,20,329,196.0,157.5,0.0685960091280116,-1.2543815654733967,12093.25,196.0,37.25,158.75,1633693521.284659,0.0489869117736816,3.9570679664611816
5,1,0,0,0,3,2,233,875292917,267,255,253,6,61220,8886,0,0,0,0,3,875292917,6,49154,8886,3007,54,363,230.0,176.88235294117646,0.1434785430374162,-1.3723849737176992,11423.397923875433,267.0,54.0,213.0,1808,20,329,196.0,164.36363636363637,-0.09314158030107,-1.2126944846536885,11464.95867768595,214.5,54.5,160.0,1633693521.285986,0.0013270378112792,3.958395004272461
6,1,0,0,0,2,3,89,3232270655,123,224,109,6,8886,61220,0,0,0,0,3,875292917,6,49154,8886,3130,54,363,176.5,173.88888888888889,0.222849785450555,-1.2997902543859492,10941.0987654321,257.75,55.5,202.25,1897,20,329,196.0,158.08333333333334,0.0576072905379903,-1.187107923355811,10943.40972222222,205.25,71.75,133.5,1633693521.373857,0.0878710746765136,4.046266078948975
7,1,0,0,0,3,2,233,875292917,267,255,253,6,61220,8886,0,0,0,0,3,875292917,6,49154,8886,3397,54,363,230.0,178.78947368421052,0.1116239416088237,-1.3466336585470835,10797.53462603878,267.0,57.0,210.0,2130,20,329,196.0,163.84615384615384,-0.0822555625911511,-1.1607904139697445,10500.130177514791,233.0,89.0,144.0,1633693521.536534,0.1626770496368408,4.208943128585815
8,1,0,0,0,2,3,89,3232270655,123,224,109,6,8886,61220,0,0,0,0,3,875292917,6,49154,8886,3520,54,363,176.5,176.0,0.1859699685206924,-1.2883898620191538,10405.5,267.0,58.5,208.5,2219,20,329,196.0,158.5,0.0494535022384253,-1.1466212252201484,10121.67857142857,223.75,89.0,134.75,1633693521.624435,0.0879008769989013,4.296844005584717
9,1,0,0,0,3,2,20,875292917,54,255,40,6,61220,8886,0,0,0,0,3,875292917,6,49154,8886,54,54,54,54.0,54.0,0.0,-3.0,0.0,54.0,54.0,0.0,2239,20,329,196.0,149.26666666666668,0.1507058642462067,-1.212259472713258,10640.46222222222,214.5,54.5,160.0,1633693521.815584,0.1911489963531494,4.487993001937866
10,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,0,0,3,875292917,6,49154,8886,284,54,230,142.0,142.0,0.0,-2.0,7744.0,186.0,98.0,88.0,2435,20,329,196.0,152.1875,0.0717820294063079,-1.1515669027028548,10103.40234375,205.25,71.75,133.5,1633693522.327529,0.5119450092315674,4.999938011169434
11,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,3,875292917,6,49154,8886,344,54,230,60.0,114.66666666666669,0.704239869641244,-1.5000000000000004,6656.88888888889,145.0,57.0,88.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633693524.66319,2.335660934448242,7.335598945617676
12,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,1,0,3,875292917,6,49154,8886,574,54,230,145.0,143.5,-0.0018026436334192,-1.9975968363222127,7486.75,230.0,58.5,171.5,2631,20,329,196.0,154.76470588235293,-0.0008508202499129,-1.0809238479765753,9615.356401384084,196.0,89.0,107.0,1633693527.332609,2.669419050216675,10.00501799583435
13,1,0,0,0,3,2,89,875292917,123,255,109,6,61220,8886,0,0,1,0,3,875292917,6,49154,8886,697,54,230,123.0,139.4,0.1525568776959208,-1.758212142404496,6056.639999999999,230.0,60.0,170.0,2720,20,329,196.0,151.11111111111111,0.095223195536468,-1.0480947229839594,9308.0987654321,196.0,89.0,107.0,1633693528.007242,0.6746330261230469,10.679651021957397
14,1,0,0,0,2,3,89,3232270655,123,224,109,6,8886,61220,0,0,1,0,3,875292917,6,49154,8886,820,54,230,123.0,136.66666666666666,0.278305247444937,-1.497349542360211,5084.555555555556,203.25,75.75,127.5,2809,20,329,196.0,147.8421052631579,0.1833274813387161,-0.9988999370257452,9010.5540166205,196.0,89.0,107.0,1633693528.093651,0.0864090919494628,10.76606011390686
15,1,0,0,0,3,2,20,875292917,54,255,40,6,61220,8886,0,0,1,0,3,875292917,6,49154,8886,874,54,230,123.0,124.85714285714286,0.5113891683079662,-1.345619698474851,5194.979591836735,176.5,57.0,119.5,2829,20,329,142.5,141.45,0.2480715105856988,-1.036729628283287,9336.347500000002,196.0,71.75,124.25,1633693528.313442,0.2197909355163574,10.985851049423218
16,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,1,0,3,875292917,6,49154,8886,1104,54,230,123.0,138.0,0.1916576609842981,-1.6728609954388791,5754.75,230.0,58.5,171.5,196,196,196,196.0,196.0,0.0,-3.0,0.0,196.0,196.0,0.0,1633693532.326504,4.013062000274658,14.998913049697876
