Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,0,0,3,875292917,6,49154,8886,1334,54,230,123.0,148.22222222222223,-0.0494014148886432,-1.7516789288054022,5951.283950617283,230.0,60.0,170.0,392,196,196,196.0,196.0,0.0,-3.0,0.0,196.0,196.0,0.0,1633693592.327315,0.0,0.0
1,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,3,875292917,6,49154,8886,1394,54,230,123.0,139.4,0.1525568776959208,-1.7582121424044967,6056.64,230.0,60.0,170.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633693594.662708,2.335392951965332,2.335392951965332
2,1,0,0,0,2,3,329,3232270655,363,224,349,6,8886,61220,0,0,1,0,3,875292917,6,49154,8886,1757,54,363,123.0,159.72727272727272,0.513138594994451,-0.7919030857932023,9638.01652892562,230.0,60.0,170.0,721,196,329,196.0,240.33333333333331,0.707106781186547,-1.5000000000000004,3930.888888888889,262.5,196.0,66.5,1633693596.177532,1.5148239135742188,3.850216865539551
3,1,0,0,0,3,2,249,875292917,283,255,269,6,61220,8886,0,0,1,0,3,875292917,6,49154,8886,2040,54,363,176.5,170.0,0.2922329308254812,-1.1091261010183149,9995.666666666666,230.0,60.0,170.0,970,196,329,222.5,242.5,0.6922000596433926,-1.1385453498281657,2962.25,269.0,196.0,73.0,1633693596.224295,0.0467629432678222,3.896979808807373
4,1,0,0,0,2,3,89,3232270655,123,224,109,6,8886,61220,0,0,1,0,3,875292917,6,49154,8886,2163,54,363,123.0,166.3846153846154,0.3998042537508597,-0.9638728122720326,9383.621301775149,230.0,60.0,170.0,1059,89,329,196.0,211.8,-0.0824682830585353,-0.7816888416303822,6139.759999999999,249.0,196.0,53.0,1633693596.312586,0.0882911682128906,3.9852709770202637
5,1,0,0,0,3,2,20,875292917,54,255,40,6,61220,8886,0,0,1,0,3,875292917,6,49154,8886,2217,54,363,123.0,158.35714285714286,0.4998777732014744,-0.9264095612191104,9551.086734693876,230.0,60.0,170.0,1079,20,329,196.0,179.83333333333334,-0.1892607860534359,-1.0254711903978084,10225.805555555557,235.75,115.75,120.0,1633693596.32282,0.0102338790893554,3.995504856109619
6,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,1,0,3,875292917,6,49154,8886,2447,54,363,123.0,163.13333333333333,0.3692052036078787,-0.9969573953620704,9233.715555555556,230.0,60.0,170.0,1275,20,329,196.0,182.14285714285717,-0.2764653276822334,-0.6893954005439293,8796.979591836734,222.5,142.5,80.0,1633693597.329652,1.0068321228027344,5.0023369789123535
7,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,1,0,3,875292917,6,49154,8886,2677,54,363,176.5,167.3125,0.2539759506487388,-1.0281028507090983,8918.58984375,230.0,60.0,170.0,1471,20,329,196.0,183.875,-0.3530138378827578,-0.3480754082964719,7718.359375,209.25,169.25,40.0,1633693602.326444,4.996791839599609,9.999128818511963
8,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,2,0,3,875292917,6,49154,8886,2737,54,363,123.0,161.0,0.3494341535429464,-1.0282344981372613,9031.529411764706,230.0,60.0,170.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633693604.666248,2.339804172515869,12.338932991027832
9,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,2,0,3,875292917,6,49154,8886,2967,54,363,176.5,164.83333333333334,0.2437122982495968,-1.0629536474841992,8779.583333333334,230.0,60.0,170.0,1667,20,329,196.0,185.22222222222223,-0.4216423884895876,-0.0033032088053257,6875.283950617285,196.0,196.0,0.0,1633693607.326668,2.6604199409484863,14.999352931976318
