Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,0,0,3,875292917,6,49154,8886,3134,54,363,230.0,164.94736842105263,0.1686224553859339,-1.177382669858294,9027.313019390582,230.0,60.0,170.0,946,20,249,196.0,157.66666666666666,-0.7056224282351782,-0.9303112685518088,6069.555555555556,196.0,115.75,80.25,1633693082.332354,0.0,0.0
1,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,3,875292917,6,49154,8886,3194,54,363,176.5,159.7,0.2569092044547676,-1.1841073670547044,9099.11,230.0,60.0,170.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633693084.616299,2.283944845199585,2.283944845199585
2,1,0,0,0,2,3,313,3232270655,347,223,333,6,8886,61220,0,0,1,0,3,875292917,6,49154,8886,347,347,347,347.0,347.0,0.0,-3.0,0.0,347.0,347.0,0.0,1259,20,313,196.0,179.85714285714286,-0.4133586812234283,-0.7273972061486655,8156.979591836735,222.5,142.5,80.0,1633693085.151025,0.5347261428833008,2.8186709880828857
3,1,0,0,0,3,2,233,875292917,267,255,253,6,61220,8886,0,0,1,0,3,875292917,6,49154,8886,614,267,347,307.0,307.0,0.0,-2.0,1600.0,327.0,287.0,40.0,1492,20,313,196.0,186.5,-0.6168927926181115,-0.4414082898227969,7446.25,237.0,169.25,67.75,1633693085.279016,0.1279909610748291,2.946661949157715
4,1,0,0,0,2,3,89,3232270655,123,223,109,6,8886,61220,0,0,1,0,3,875292917,6,49154,8886,737,123,347,267.0,245.66666666666663,-0.3330665464269752,-1.5000000000000004,8590.222222222223,307.0,195.0,112.0,1581,20,313,196.0,175.66666666666666,-0.3172209030012389,-0.8680682748842998,7557.777777777777,233.0,89.0,144.0,1633693085.368417,0.0894010066986084,3.0360629558563232
5,1,0,0,0,3,2,20,875292917,54,255,40,6,61220,8886,0,0,1,0,3,875292917,6,49154,8886,791,54,347,195.0,197.75,0.0436267484077886,-1.624954029228779,13330.6875,287.0,105.75,181.25,1601,20,313,196.0,160.1,-0.1662286486573774,-1.1858684808871047,8982.89,223.75,89.0,134.75,1633693085.648565,0.2801480293273926,3.316210985183716
6,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,1,0,3,875292917,6,49154,8886,1021,54,347,230.0,204.2,-0.1325594162396637,-1.3219580461957965,10830.96,267.0,123.0,144.0,1797,20,313,196.0,163.36363636363637,-0.273087960644191,-1.021835027592649,8272.776859504133,214.5,89.0,125.5,1633693087.330461,1.6818959712982178,4.998106956481934
7,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,1,0,3,875292917,6,49154,8886,1251,54,347,230.0,208.5,-0.2749060724823544,-0.9887409071389376,9118.25,257.75,149.75,108.0,1993,20,313,196.0,166.08333333333334,-0.3696094862865531,-0.845828829434256,7664.743055555555,205.25,89.0,116.25,1633693092.335663,5.005202054977417,10.00330901145935
8,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,2,0,3,875292917,6,49154,8886,1311,54,347,230.0,187.28571428571428,0.0053988948802741,-1.3297877682883006,10515.918367346938,248.5,91.5,157.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633693094.61627,2.280606985092163,12.283915996551514
9,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,2,0,3,875292917,6,49154,8886,1541,54,347,230.0,192.625,-0.1490937190530597,-1.1520178636566545,9400.984375,239.25,107.25,132.0,2189,20,313,196.0,168.3846153846154,-0.4578926960022094,-0.6610358810367916,7138.698224852071,196.0,89.0,107.0,1633693097.329657,2.713387012481689,14.997303009033203
