Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,0,0,3,4294967295,6,49154,6667,460,230,230,230.0,230.0,0.0,-3.0,0.0,230.0,230.0,0.0,196,196,196,196.0,196.0,0.0,-3.0,0.0,196.0,196.0,0.0,1633693207.332755,0.0,0.0
1,1,0,0,0,2,3,313,3232270655,347,223,333,6,8886,61220,0,0,0,0,3,4294967295,6,49154,6667,807,230,347,230.0,269.0,0.7071067811865476,-1.5,3042.0,288.5,230.0,58.5,509,196,313,254.5,254.5,0.0,-2.0,3422.25,283.75,225.25,58.5,1633693208.100054,0.7672989368438721,0.7672989368438721
2,1,0,0,0,3,2,20,875292917,54,255,40,6,61220,8886,0,0,0,0,3,875292917,6,49154,6667,861,54,347,230.0,215.25,-0.4144913182411994,-0.9614423756926596,10948.6875,259.25,186.0,73.25,529,20,313,196.0,176.33333333333334,-0.2406152010986662,-1.4999999999999998,14501.555555555557,254.5,108.0,146.5,1633693208.152001,0.0519468784332275,0.8192458152770996
3,1,0,0,0,3,2,233,875292917,267,255,253,6,61220,8886,0,0,0,0,3,875292917,6,49154,8886,1128,54,347,230.0,225.6,-0.7251003385516755,-0.4238645715190721,9187.44,267.0,230.0,37.0,762,20,313,214.5,190.5,-0.6182767213505941,-0.9629438127388674,11478.25,253.0,152.0,101.0,1633693208.193657,0.0416560173034668,0.8609018325805664
4,1,0,0,0,2,3,89,3232270655,123,223,109,6,8886,61220,0,0,0,0,3,875292917,6,49154,8886,1251,54,347,230.0,208.5,-0.2749060724823544,-0.9887409071389376,9118.25,257.75,149.75,108.0,851,20,313,196.0,170.2,-0.1325594162396637,-1.3219580461957965,10830.96,233.0,89.0,144.0,1633693208.283005,0.0893480777740478,0.9502499103546143
5,1,0,0,0,3,2,20,875292917,54,255,40,6,61220,8886,0,0,0,0,3,875292917,6,49154,8886,1305,54,347,230.0,186.42857142857144,-0.0091840785341853,-1.3332445455210062,10738.530612244898,248.5,88.5,160.0,871,20,313,142.5,145.16666666666666,0.1786798802004002,-1.4663246780870314,12159.138888888889,223.75,37.25,186.5,1633693208.708763,0.425757884979248,1.3760077953338623
6,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,0,0,3,875292917,6,49154,8886,1535,54,347,230.0,191.875,-0.1654156061881815,-1.1535008603449388,9603.859375,239.25,105.75,133.5,1067,20,313,196.0,152.42857142857142,-0.0091840785341852,-1.3332445455210062,10738.530612244898,214.5,54.5,160.0,1633693212.328526,3.619763135910034,4.9957709312438965
7,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,3,875292917,6,49154,8886,1595,54,347,230.0,177.22222222222223,0.0584545714102264,-1.3329589658965713,10254.395061728395,230.0,60.0,170.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633693214.645496,2.316969871520996,7.312740802764893
8,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,1,0,3,875292917,6,49154,6667,1825,54,347,230.0,182.5,-0.0876634538805951,-1.2344021740930606,9479.65,230.0,75.75,154.25,1263,20,313,196.0,157.875,-0.1654156061881815,-1.1535008603449388,9603.859375,205.25,71.75,133.5,1633693217.328511,2.6830151081085205,9.995755910873413
9,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,1,0,3,4294967295,6,49154,6667,2055,54,347,230.0,186.8181818181818,-0.2154027539592752,-1.1063269443711552,8804.330578512398,230.0,91.5,138.5,1459,20,313,196.0,162.11111111111111,-0.2999978500532579,-0.9455624408493684,8680.320987654319,196.0,89.0,107.0,1633693222.328747,5.000236034393311,14.995991945266724
