Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,2,233,875292917,267,255,253,6,4659,8886,0,0,0,0,3,875292917,6,49154,8886,847,60,267,230.0,169.4,-0.3374083564387323,-1.7863645530160717,8161.44,230.0,60.0,170.0,2633,20,233,196.0,138.57894736842104,-0.2771426763320635,-1.5114484213724555,6525.191135734071,196.0,89.0,107.0,1633630718.581803,0.0,0.0
1,1,0,0,0,2,2,89,3232270655,123,224,109,6,8886,4659,0,0,0,0,3,875292917,6,49154,8886,970,60,267,176.5,161.66666666666666,-0.098237631655061,-1.7350700696633072,7100.222222222222,230.0,75.75,154.25,2722,20,233,142.5,136.1,-0.1950250048647231,-1.5131013790168868,6315.69,196.0,89.0,107.0,1633630718.668216,0.0864129066467285,0.0864129066467285
2,1,0,0,0,2,2,20,875292917,54,255,40,6,4659,8886,0,0,0,0,3,875292917,6,49154,8886,1024,54,267,123.0,146.28571428571428,0.1865254170812716,-1.7465296425153225,7505.34693877551,230.0,60.0,170.0,20,20,20,20.0,20.0,0.0,-3.0,0.0,20.0,20.0,0.0,1633630718.88851,0.2202939987182617,0.3067069053649902
3,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,0,0,3,875292917,6,49154,8886,1254,54,267,176.5,156.75,-0.0826633839081768,-1.7865277002048154,7333.6875,230.0,60.0,170.0,216,20,196,108.0,108.0,0.0,-2.0,7744.0,152.0,64.0,88.0,1633630721.721207,2.832696914672852,3.1394038200378422
4,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,3,875292917,6,49154,8886,1314,54,267,123.0,146.0,0.1471828453125296,-1.7972179831534032,7443.333333333333,230.0,60.0,170.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633630723.218469,1.4972620010375977,4.6366658210754395
5,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,1,0,3,875292917,6,49154,8886,1544,54,267,176.5,154.4,-0.065397906327142,-1.8245902595589871,7334.039999999999,230.0,60.0,170.0,412,20,196,196.0,137.33333333333334,-0.707106781186548,-1.4999999999999998,6883.555555555556,196.0,108.0,88.0,1633630726.720723,3.502254009246826,8.138919830322266
6,1,0,0,0,2,2,89,875292917,123,255,109,6,4659,8886,0,0,1,0,3,875292917,6,49154,8886,1667,54,267,123.0,151.54545454545453,0.0318566815171669,-1.7389604477892024,6748.793388429752,230.0,60.0,170.0,501,20,196,142.5,125.25,-0.3013657417875057,-1.6088359965190662,5600.6875,196.0,71.75,124.25,1633630730.891646,4.170922994613648,12.309842824935913
7,1,0,0,0,2,2,89,3232270655,123,224,109,6,8886,4659,0,0,1,0,3,875292917,6,49154,8886,1790,54,267,123.0,149.16666666666666,0.1191588211795884,-1.6412651645274103,6248.638888888888,230.0,60.0,170.0,590,20,196,89.0,118.0,-0.0254402720737356,-1.4758725423090495,4690.8,196.0,89.0,107.0,1633630730.977067,0.085421085357666,12.395263910293579
8,1,0,0,0,2,2,20,875292917,54,255,40,6,4659,8886,0,0,1,0,3,875292917,6,49154,8886,1844,54,267,123.0,141.84615384615384,0.2517295524696973,-1.613179229288069,6411.05325443787,230.0,60.0,170.0,610,20,196,89.0,101.66666666666669,0.2570492679958976,-1.5000000000000004,5242.88888888889,169.25,37.25,132.0,1633630731.138544,0.1614770889282226,12.556740999221802
9,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,1,0,3,875292917,6,49154,8886,2074,54,267,123.0,148.14285714285714,0.0893431751018253,-1.69673096203985,6468.551020408163,230.0,60.0,170.0,806,20,196,89.0,115.14285714285714,-0.0590060158678665,-1.6571691666366073,5583.551020408164,196.0,54.5,141.5,1633630731.720869,0.5823249816894531,13.139065980911255
10,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,2,0,3,875292917,6,49154,8886,2134,54,267,123.0,142.26666666666668,0.2143797725600209,-1.677765655687881,6520.728888888891,230.0,60.0,170.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633630733.218452,1.4975829124450684,14.636648893356323
