Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,2,233,875292917,267,255,253,6,4659,8886,0,0,0,0,3,875292917,6,49154,8886,2401,54,267,123.0,150.0625,0.105900503003637,-1.7167281935621117,7024.80859375,230.0,60.0,170.0,1039,20,233,142.5,129.875,-0.2012874077816891,-1.5753785997955931,6404.859375,196.0,71.75,124.25,1633630601.487785,0.0,0.0
1,1,0,0,0,2,2,89,3232270655,123,224,109,6,8886,4659,0,0,0,0,3,875292917,6,49154,8886,2524,54,267,123.0,148.47058823529412,0.1645762044952868,-1.641818705620274,6652.131487889274,230.0,60.0,170.0,1128,20,233,89.0,125.33333333333331,-0.0432411785387416,-1.508682686818516,5858.222222222222,196.0,89.0,107.0,1633630601.574828,0.0870428085327148,0.0870428085327148
2,1,0,0,0,2,2,20,875292917,54,255,40,6,4659,8886,0,0,0,0,3,875292917,6,49154,8886,2578,54,267,123.0,143.22222222222223,0.2594821957842601,-1.615613126573187,6750.839506172841,230.0,60.0,170.0,1148,20,233,89.0,114.8,0.1309175044109881,-1.552456014498335,6270.96,196.0,37.25,158.75,1633630601.629617,0.0547890663146972,0.141831874847412
3,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,0,0,3,875292917,6,49154,8886,2808,54,267,123.0,147.78947368421052,0.1397725654373384,-1.6807043323289512,6771.008310249308,230.0,60.0,170.0,1344,20,233,89.0,122.1818181818182,-0.0626894317757993,-1.6011109787044844,6245.785123966943,196.0,54.5,141.5,1633630601.72455,0.0949330329895019,0.2367649078369139
4,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,3,875292917,6,49154,8886,2868,54,267,123.0,143.4,0.2314872187023976,-1.6602631052076158,6798.539999999999,230.0,60.0,170.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633630603.222948,1.4983980655670166,1.7351629734039304
5,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,1,0,3,875292917,6,49154,8886,230,230,230,230.0,230.0,0.0,-3.0,0.0,230.0,230.0,0.0,1540,20,233,142.5,128.33333333333334,-0.2252583233146591,-1.574469294743687,6141.555555555556,196.0,71.75,124.25,1633630606.722475,3.4995269775390625,5.234689950942993
6,1,0,0,0,2,2,89,875292917,123,255,109,6,4659,8886,0,0,1,0,3,875292917,6,49154,8886,353,123,230,176.5,176.5,0.0,-2.0,2862.25,203.25,149.75,53.5,1629,20,233,89.0,125.3076923076923,-0.1189926953605509,-1.5367679318218272,5778.982248520711,196.0,89.0,107.0,1633630610.892665,4.17018985748291,9.404879808425903
7,1,0,0,0,2,2,89,3232270655,123,224,109,6,8886,4659,0,0,1,0,3,875292917,6,49154,8886,476,123,230,123.0,158.66666666666666,0.7071067811865482,-1.4999999999999991,2544.222222222222,176.5,123.0,53.5,1718,20,233,89.0,122.71428571428572,-0.0236187185356899,-1.4808793378057192,5453.632653061223,196.0,89.0,107.0,1633630610.977926,0.0852611064910888,9.490140914916992
8,1,0,0,0,2,2,20,875292917,54,255,40,6,4659,8886,0,0,1,0,3,875292917,6,49154,8886,530,54,230,123.0,132.5,0.4424532581567415,-0.9560015137656256,3962.25,149.75,105.75,44.0,1738,20,233,89.0,115.86666666666666,0.0855079084623957,-1.5164162639189376,5746.515555555556,196.0,54.5,141.5,1633630611.129439,0.1515130996704101,9.641654014587402
9,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,1,0,3,875292917,6,49154,8886,760,54,230,123.0,152.0,-0.0254402720737356,-1.4758725423090495,4690.8,230.0,123.0,107.0,1934,20,233,89.0,120.875,-0.0448911687450842,-1.554084415544906,5763.609375,196.0,71.75,124.25,1633630611.722442,0.5930027961730957,10.234656810760498
10,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,2,0,3,875292917,6,49154,8886,820,54,230,123.0,136.66666666666666,0.278305247444937,-1.497349542360211,5084.555555555556,203.25,75.75,127.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633630613.219356,1.4969141483306885,11.731570959091187
11,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,2,0,3,875292917,6,49154,8886,1050,54,230,123.0,150.0,-0.041868154048204,-1.6675590244892593,5424.857142857143,230.0,91.5,138.5,2130,20,233,89.0,125.29411764705884,-0.1603783896710529,-1.5525807054135854,5737.031141868511,196.0,89.0,107.0,1633630616.725236,3.5058798789978027,15.23745083808899
