Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,1,1,316,4294967295,350,255,336,17,68,67,0,0,0,0,10,3232270655,6,49154,6667,734,54,350,54.0,91.75,2.265969397349744,3.1382072563769547,9531.4375,55.5,54.0,1.5,2612,20,316,196.0,137.47368421052633,-0.2222320202659955,-1.2945354047662851,8744.775623268699,196.0,20.0,176.0,1632855450.971108,0.0,0.0
1,0,1,0,0,1,1,314,3232270655,348,128,334,17,67,68,0,0,0,0,10,3232270655,6,49154,6667,1082,54,350,54.0,120.22222222222224,1.3355408872005792,-0.2149574488058871,14957.72839506173,60.0,54.0,6.0,2926,20,316,196.0,146.3,-0.162609440476689,-1.1896734584841389,9787.71,196.0,20.0,176.0,1632855450.979511,0.0084030628204345,0.0084030628204345
2,0,1,0,0,1,1,316,4294967295,350,255,336,17,68,67,0,0,0,0,10,3232270655,6,49154,6667,1432,54,350,54.0,143.2,0.8723702816924237,-1.2381175798812314,18213.76,276.0,54.0,222.0,316,316,316,316.0,316.0,0.0,-3.0,0.0,316.0,316.0,0.0,1632855451.000283,0.0207719802856445,0.029175043106078997
3,0,1,0,0,1,1,314,3232270655,348,128,334,17,67,68,0,0,0,0,10,3232270655,6,49154,6667,1780,54,350,54.0,161.8181818181818,0.5665707753484005,-1.678331415583971,20024.3305785124,348.0,54.0,294.0,630,314,316,315.0,315.0,0.0,-2.0,1.0,315.5,314.5,1.0,1632855451.007229,0.0069460868835449,0.0361211299896239
4,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,10,3232270655,6,49154,6667,1840,54,350,57.0,153.33333333333334,0.7064195216043166,-1.4998576726066997,19147.55555555556,348.0,54.0,294.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1632855451.013723,0.0064938068389892,0.0426149368286131
5,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,2,0,10,3232270655,6,49154,6667,1900,54,350,60.0,146.15384615384616,0.8324086201874554,-1.3056160414426083,18293.20710059172,348.0,54.0,294.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1632855451.123921,0.1101980209350586,0.1528129577636717
6,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,3,0,10,3232270655,6,49154,6667,1960,54,350,60.0,140.0,0.947568574211498,-1.1003192789445089,17478.85714285714,276.0,54.0,222.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1632855451.626969,0.5030481815338135,0.6558611392974851
7,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,4,0,10,3232270655,6,49154,6667,2020,54,350,60.0,134.66666666666666,1.0540171455005227,-0.8869728112555886,16711.822222222225,204.0,54.0,150.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1632855452.432049,0.8050799369812012,1.4609410762786863
8,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,5,0,10,3232270655,6,49154,6667,2062,42,350,60.0,128.875,1.150717713572842,-0.6693710033987896,16170.484375,132.0,54.0,78.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1632855452.432081,3.1948089599609375e-05,1.460973024368286
9,0,1,0,0,3,1,39,3232270593,73,255,59,17,49153,53,1,0,5,0,10,3232270655,6,49154,6667,2135,42,350,60.0,125.58823529411764,1.2403313808092138,-0.4493639391378483,15392.12456747405,73.0,54.0,19.0,669,39,316,314.0,223.0,-0.7069814738852193,-1.5000000000000002,16928.666666666668,315.0,176.5,138.5,1632855452.437769,0.0056879520416259,1.4666609764099119
