Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,0,2,2,233,3232270655,267,224,253,6,8886,4659,0,0,0,0,10,3232270655,6,49154,6667,327,60,267,163.5,163.5,0.0,-2.0,10712.25,215.25,111.75,103.5,2400,20,233,142.5,133.33333333333334,-0.1982212597438866,-1.5356985717869556,6364.888888888889,196.0,89.0,107.0,1633631093.063145,0.0,0.0
1,1,0,0,0,2,2,20,875292917,54,255,40,6,4659,8886,0,0,0,0,10,3232270655,6,49154,6667,381,54,267,60.0,127.0,0.7051603183068194,-1.5,9806.0,163.5,57.0,106.5,2420,20,233,89.0,127.36842105263158,-0.0961807536463143,-1.6018823022501862,6670.337950138504,196.0,54.5,141.5,1633631093.067219,0.0040740966796875,0.0040740966796875
2,1,0,0,0,2,2,233,875292917,267,255,253,6,4659,8886,0,0,0,0,10,3232270655,6,49154,6667,648,54,267,163.5,162.0,-0.0012237404905998,-1.998368512439905,11029.5,267.0,58.5,208.5,2653,20,233,142.5,132.65,-0.1753794319374575,-1.5943727562968597,6866.827500000001,196.0,71.75,124.25,1633631093.099653,0.0324339866638183,0.0365080833435058
3,1,0,0,0,2,2,89,3232270655,123,224,109,6,8886,4659,0,0,0,0,10,3232270655,6,49154,6667,771,54,267,123.0,154.2,0.2312399557728907,-1.7731781193911111,9066.96,267.0,60.0,207.0,89,89,89,89.0,89.0,0.0,-3.0,0.0,89.0,89.0,0.0,1633631093.186373,0.0867199897766113,0.1232280731201171
4,1,0,0,0,2,2,20,875292917,54,255,40,6,4659,8886,0,0,0,0,10,3232270655,6,49154,6667,825,54,267,91.5,137.5,0.5335323941045634,-1.552297612386205,8950.25,231.0,55.5,175.5,109,20,89,54.5,54.5,0.0,-2.0,1190.25,71.75,37.25,34.5,1633631093.235887,0.0495140552520751,0.17274212837219222
5,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,10,3232270655,6,49154,6667,885,54,267,60.0,126.42857142857144,0.7800788359994771,-1.2316017517768465,8407.102040816326,195.0,57.0,138.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633631093.245621,0.0097339153289794,0.18247604370117163
6,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,1,0,10,3232270655,6,49154,6667,1115,54,267,91.5,139.375,0.4209316323239157,-1.6533444067304612,8529.484375,239.25,58.5,180.75,305,20,196,89.0,101.66666666666669,0.2570492679958977,-1.5000000000000004,5242.88888888889,142.5,54.5,88.0,1633631096.71843,3.472809076309204,3.6552851200103755
7,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,1,0,10,3232270655,6,49154,6667,1345,54,267,123.0,149.44444444444446,0.1598196725390411,-1.800199958246682,8392.913580246915,230.0,60.0,170.0,501,20,196,142.5,125.25,-0.3013657417875057,-1.6088359965190662,5600.6875,196.0,71.75,124.25,1633631101.722006,5.003576040267944,8.65886116027832
8,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,2,0,10,3232270655,6,49154,6667,1405,54,267,91.5,140.5,0.3478270644083409,-1.7166210236369333,8273.65,230.0,60.0,170.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1633631103.249021,1.527014970779419,10.18587613105774
9,0,1,0,0,3,2,196,4294967295,230,255,216,17,49154,6667,0,0,2,0,10,3232270655,6,49154,6667,1635,54,267,123.0,148.63636363636363,0.1389305843119601,-1.8189308196456524,8183.504132231405,230.0,60.0,170.0,697,20,196,196.0,139.4,-0.6702445011534431,-1.27570101929546,5281.44,196.0,89.0,107.0,1633631106.723569,3.474547863006592,13.660423994064331
