Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,1,0,0,2,2,184,4026531834,218,1,204,17,37020,37000,0,0,0,0,1,4026531834,17,37020,37000,218,218,218,218.0,218.0,0.0,-3.0,0.0,218.0,218.0,0.0,184,184,184,184.0,184.0,0.0,-3.0,0.0,184.0,184.0,0.0,1633539559.493143,0.0,0.0
1,1,0,0,0,3,2,78,3232270809,112,48,98,6,50920,42393,0,0,0,0,2,3232270809,17,50920,37000,330,112,218,165.0,165.0,0.0,-2.0,2809.0,191.5,138.5,53.0,262,78,184,131.0,131.0,0.0,-2.0,2809.0,157.5,104.5,53.0,1633539560.147402,0.6542589664459229,0.6542589664459229
2,1,0,0,0,2,3,32,805182303,66,64,52,6,42393,50920,0,0,0,0,3,3232270809,6,50920,37000,396,66,218,112.0,132.0,0.4403344084307587,-1.4999999999999998,4050.6666666666665,165.0,89.0,76.0,294,32,184,78.0,98.0,0.4403344084307587,-1.4999999999999998,4050.6666666666665,131.0,55.0,76.0,1633539560.155376,0.0079739093780517,0.6622328758239745
3,1,0,0,0,3,2,181,3232270809,215,48,201,6,50920,42393,0,0,0,0,3,3232270809,6,50920,42393,611,66,218,163.5,152.75,-0.1768036248566161,-1.7659560744687626,4329.6875,215.75,100.5,115.25,475,32,184,129.5,118.75,-0.1768036248566161,-1.7659560744687626,4329.6875,181.75,66.5,115.25,1633539560.245294,0.0899181365966796,0.7521510124206541
4,1,0,0,0,2,3,1430,805182303,1464,64,1450,6,42393,50920,0,0,0,0,3,3232270809,6,50920,42393,2075,66,1464,215.0,415.0,1.453300744006616,0.1888822814651263,278564.0,218.0,112.0,106.0,1905,32,1430,181.0,381.0,1.453300744006616,0.1888822814651263,278564.0,184.0,78.0,106.0,1633539560.289561,0.044266939163208,0.7964179515838621
5,1,0,0,0,3,2,319,3232270809,353,48,339,6,50920,42393,0,0,0,0,3,3232270809,6,50920,42393,2428,66,1464,216.5,404.6666666666667,1.6504581136633478,0.9478368466546804,232670.55555555556,319.25,137.75,181.5,2224,32,1430,182.5,370.6666666666667,1.6504581136633478,0.9478368466546804,232670.55555555556,285.25,103.75,181.5,1633539560.299896,0.0103349685668945,0.8067529201507566
6,1,0,0,0,2,3,1430,805182303,1464,64,1450,6,42393,50920,0,0,0,0,3,3232270809,6,50920,42393,3892,66,1464,218.0,556.0,0.8808439956350744,-1.1312163374745912,336842.5714285714,908.5,163.5,745.0,3654,32,1430,184.0,522.0,0.8808439956350744,-1.1312163374745912,336842.5714285714,874.5,129.5,745.0,1633539560.324484,0.0245881080627441,0.8313410282135008
7,1,0,0,0,2,3,1430,805182303,1464,64,1450,6,42393,50920,0,0,0,0,3,805182303,6,42393,50920,5356,66,1464,285.5,669.5,0.4678659389927145,-1.718540948507786,384913.0,1464.0,189.25,1274.75,5084,32,1430,251.5,635.5,0.4678659389927145,-1.718540948507786,384913.0,1430.0,155.25,1274.75,1633539560.353852,0.0293679237365722,0.8607089519500729
8,1,0,0,0,3,2,32,3232270809,66,48,52,6,50920,42393,0,0,0,0,3,3232270809,6,50920,42393,5422,66,1464,218.0,602.4444444444445,0.6505489803409849,-1.5042430419858308,378116.4691358025,1464.0,112.0,1352.0,5116,32,1430,184.0,568.4444444444445,0.6505489803409849,-1.5042430419858308,378116.4691358025,1430.0,78.0,1352.0,1633539560.378269,0.0244169235229492,0.8851258754730221
9,1,0,0,0,2,3,1430,805182303,1464,64,1450,6,42393,50920,0,0,0,0,3,805182303,6,42393,50920,6886,66,1464,285.5,688.6,0.3627225284047373,-1.8119391086880203,407109.84,1464.0,137.75,1326.25,6546,32,1430,251.5,654.6,0.3627225284047373,-1.8119391086880203,407109.84,1430.0,103.75,1326.25,1633539560.384421,0.0061521530151367,0.8912780284881588
