Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,3,183,3232270750,217,228,203,6,443,55236,0,0,0,0,3,315379628,6,55236,443,659,42,217,66.0,109.83333333333331,0.6713310611210485,-1.484198535790501,5341.472222222222,172.5,61.5,111.0,4016,32,757,178.5,251.0,1.0069333572525094,-0.2483883790499392,60094.125,343.5,32.0,311.5,1634145126.199704,0.0,0.0
1,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,0,0,3,315379628,6,55236,443,725,42,217,66.0,103.57142857142856,0.9080884206225844,-1.098551408915042,4813.673469387754,137.0,63.0,74.0,4048,32,757,174.0,238.11764705882356,1.084986983532458,-0.0812098372741063,59214.45674740484,343.0,32.0,311.0,1634145126.373845,0.1741411685943603,0.1741411685943603
2,1,0,0,1,3,1,310,315379628,344,64,330,6,55236,443,0,0,0,0,3,315379628,6,55236,443,1069,42,344,66.0,133.625,0.9486394035371049,-0.5216771216338629,10534.484375,210.25,64.5,145.75,4358,32,757,178.5,242.11111111111111,1.0593789692764342,-0.0118823199886715,56195.87654320988,334.75,32.0,302.75,1634145126.803913,0.4300680160522461,0.6042091846466064
3,1,0,0,1,1,3,600,3232270750,634,228,620,6,443,55236,0,0,0,0,3,315379628,6,55236,443,1703,42,634,66.0,189.22222222222223,1.4255618015192255,0.9338478031264628,34092.3950617284,217.0,66.0,151.0,4958,32,757,183.0,260.94736842105266,0.8521379970142593,-0.5411729346003677,59624.681440443215,344.0,32.0,312.0,1634145126.8482,0.0442869663238525,0.648496150970459
4,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,0,0,3,315379628,6,55236,443,1769,42,634,66.0,176.9,1.5818066523468437,1.4356509919673055,32049.69,214.75,66.0,148.75,4990,32,757,178.5,249.5,0.9192445137802628,-0.4260485030040772,59133.25,343.5,32.0,311.5,1634145126.851877,0.0036768913269042,0.6521730422973632
5,1,0,0,1,3,1,343,315379628,377,64,363,6,55236,443,0,0,0,0,3,315379628,6,55236,443,2146,42,634,66.0,195.0909090909091,1.2324234816326824,0.5140064206018189,32445.173553719007,280.5,66.0,214.5,343,343,343,343.0,343.0,0.0,-3.0,0.0,343.0,343.0,0.0,1634145127.006201,0.1543240547180175,0.8064970970153806
6,1,0,0,1,1,3,755,3232270750,789,228,775,6,443,55236,0,0,0,0,3,315379628,6,55236,443,2935,42,789,137.0,244.58333333333331,1.150089730507997,0.0644599622199888,56685.90972222221,352.25,66.0,286.25,1098,343,755,549.0,549.0,0.0,-2.0,42436.0,652.0,446.0,206.0,1634145127.053446,0.0472450256347656,0.8537421226501463
7,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,0,0,3,315379628,6,55236,443,3001,42,789,66.0,230.84615384615384,1.2655843036059775,0.3532568520272154,54589.97633136096,344.0,66.0,278.0,1130,32,755,343.0,376.6666666666667,0.1690682712273803,-1.4999999999999996,87688.2222222222,549.0,187.5,361.5,1634145127.055855,0.0024089813232421,0.8561511039733883
8,1,0,0,1,3,1,301,315379628,335,64,321,6,55236,443,0,0,0,0,3,315379628,6,55236,443,3336,42,789,137.0,238.28571428571428,1.194338349341688,0.3507947469580585,51410.20408163266,341.75,66.0,275.75,1431,32,755,322.0,357.75,0.4041701586459848,-0.9757541510637892,66839.6875,446.0,233.75,212.25,1634145130.858581,3.802726030349731,4.658877134323119
9,1,0,0,1,1,3,528,3232270750,562,228,548,6,443,55236,0,0,0,0,3,315379628,6,55236,443,3898,42,789,208.0,259.8666666666667,0.9208077690725102,-0.3628528562403308,54503.18222222222,360.5,66.0,294.5,1959,32,755,343.0,391.8,0.0427578434136052,-0.9519637203028192,58109.36,528.0,301.0,227.0,1634145130.904815,0.0462338924407959,4.705111026763915
10,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,0,0,3,315379628,6,55236,443,3964,42,789,137.0,247.75,1.013264885868991,-0.1874295237313936,53298.9375,352.25,66.0,286.25,1991,32,755,322.0,331.8333333333333,0.2862277907368218,-1.1210556239383431,66404.47222222222,481.75,99.25,382.5,1634145130.906984,0.002169132232666,4.707280158996581
11,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,3,315379628,6,55236,443,4024,42,789,66.0,236.7058823529412,1.0988601487429357,-0.005756807528551,52115.26643598615,344.0,66.0,278.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634145137.576727,6.669742822647095,11.377022981643677
12,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,2,0,3,315379628,6,55236,443,4066,42,789,66.0,225.88888888888889,1.1736045755574285,0.1699921998200459,51209.0987654321,341.75,66.0,275.75,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634145137.576745,1.811981201171875e-05,11.377041101455688
13,1,0,0,1,1,3,183,3232270750,217,228,203,6,443,55236,0,0,2,0,3,315379628,6,55236,443,4283,42,789,66.0,225.42105263157896,1.2119856049287536,0.3558293236766556,48517.82271468144,339.5,66.0,273.5,2174,32,755,301.0,310.57142857142856,0.5178340884090551,-0.8482666178249199,59630.5306122449,435.5,107.5,328.0,1634145154.532246,16.955501079559326,28.332542181015015
14,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,2,0,3,315379628,6,55236,443,4349,42,789,66.0,217.45,1.286479755852058,0.5494142729310165,47299.1475,337.25,66.0,271.25,2206,32,755,242.0,275.75,0.6876784111255609,-0.7077543524548893,60664.4375,389.25,32.0,357.25,1634145154.533925,0.0016789436340332,28.334221124649048
15,1,0,0,1,3,1,310,315379628,344,64,330,6,55236,443,0,0,2,0,3,315379628,6,55236,443,344,344,344,344.0,344.0,0.0,-3.0,0.0,344.0,344.0,0.0,2516,32,755,301.0,279.55555555555554,0.6782882563642465,-0.4782405337841737,54039.8024691358,343.0,32.0,311.0,1634145155.067493,0.5335679054260254,28.867789030075073
16,1,0,0,1,1,3,600,3232270750,634,228,620,6,443,55236,0,0,2,0,3,315379628,6,55236,443,978,344,634,489.0,489.0,0.0,-2.0,21025.0,561.5,416.5,145.0,3116,32,755,305.5,311.6,0.3851204640357848,-1.018598662687824,57877.44,481.75,69.75,412.0,1634145155.111138,0.0436451435089111,28.911434173583984
17,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,2,0,3,315379628,6,55236,443,1044,66,634,344.0,348.0,0.0258678352872837,-1.4999999999999998,53778.66666666666,489.0,205.0,284.0,3148,32,755,301.0,286.1818181818182,0.5159910749846919,-0.9618169240689958,59076.69421487604,435.5,32.0,403.5,1634145155.115473,0.0043349266052246,28.91576910018921
18,1,0,0,1,3,1,345,315379628,379,64,365,6,55236,443,0,0,2,0,3,315379628,6,55236,443,1423,66,634,361.5,355.75,-0.084983171206564,-1.0134185371876998,40514.1875,442.75,274.5,168.25,3493,32,755,305.5,291.0833333333333,0.4733056494243681,-0.840163090788189,54417.90972222222,390.75,32.0,358.75,1634145155.274844,0.1593708992004394,29.07513999938965
19,1,0,0,1,1,3,757,3232270750,791,228,777,6,443,55236,0,0,2,0,3,315379628,6,55236,443,2214,66,791,379.0,442.8,-0.0702153255730547,-1.1542753208218115,62722.16000000001,634.0,344.0,290.0,4250,32,757,310.0,326.9230769230769,0.3699287966182336,-1.113587449535818,65645.76331360947,528.0,32.0,496.0,1634145155.321758,0.0469141006469726,29.12205410003662
20,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,2,0,3,315379628,6,55236,443,2280,66,791,361.5,380.0,0.2057905387134651,-1.323093231286314,71987.66666666667,570.25,135.5,434.75,4282,32,757,305.5,305.85714285714283,0.4740908173168177,-1.0685042692162443,66725.83673469388,482.25,32.0,450.25,1634145155.326888,0.0051300525665283,29.12718415260315
21,1,0,0,1,1,3,174,3232270750,208,228,194,6,443,55236,0,0,2,0,3,315379628,6,55236,443,2488,66,791,344.0,355.42857142857144,0.44980900023549,-1.1078366185482402,65326.24489795918,506.5,137.0,369.5,4456,32,757,301.0,297.06666666666666,0.5734436135533958,-0.9228004353948528,63359.26222222222,436.5,32.0,404.5,1634145155.955267,0.6283788681030273,29.755563020706177
22,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,2,0,3,315379628,6,55236,443,2554,66,791,276.0,319.25,0.631528798906254,-0.958247567132811,66322.6875,442.75,66.0,376.75,4488,32,757,242.0,280.5,0.6603862897254914,-0.8380591499799457,63516.125,390.75,32.0,358.75,1634145155.956975,0.0017080307006835,29.75727105140686
23,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,3,0,3,315379628,6,55236,443,2614,60,791,208.0,290.44444444444446,0.7943654057462003,-0.7464413327831809,65591.58024691358,379.0,66.0,313.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634145158.607855,2.6508800983428955,32.408151149749756
24,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,4,0,3,315379628,6,55236,443,2656,42,791,137.0,265.6,0.932447238247934,-0.5097370736408409,64587.63999999999,370.25,66.0,304.25,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634145158.607873,1.7881393432617188e-05,32.40816903114319
25,1,0,0,1,3,1,345,315379628,379,64,365,6,55236,443,0,0,4,0,3,315379628,6,55236,443,3035,42,791,208.0,275.90909090909093,0.8344972929106184,-0.5044533720311617,59778.80991735537,379.0,66.0,313.0,4833,32,757,301.0,284.29411764705884,0.6314011141643692,-0.7608101820630782,60010.20761245675,345.0,32.0,313.0,1634145160.983364,2.375491142272949,34.78366017341614
26,1,0,0,1,1,3,757,3232270750,791,228,777,6,443,55236,0,0,4,0,3,315379628,6,55236,443,3826,42,791,276.0,318.8333333333333,0.6235309569076113,-1.0467721658950395,75064.63888888889,442.75,66.0,376.75,5590,32,757,305.5,310.55555555555554,0.5158154516221177,-1.0470999128081255,68400.58024691358,482.25,32.0,450.25,1634145161.030996,0.0476319789886474,34.831292152404785
