Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,3,184,3232270750,218,228,204,6,443,55236,0,0,0,0,3,315379628,6,55236,443,1283,42,562,142.0,213.83333333333331,0.8099098942688785,-0.7325419345415738,35160.805555555555,305.75,61.5,244.25,3831,32,761,301.0,319.25,0.4198226956179189,-1.1234825708739071,68555.6875,528.0,32.0,496.0,1634145338.517755,0.0,0.0
1,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,0,0,3,315379628,6,55236,443,1349,42,562,66.0,192.7142857142857,1.0436939483924652,-0.3001654419621937,32813.91836734694,276.5,63.0,213.5,3863,32,761,301.0,297.15384615384613,0.5350251530730403,-1.0500630734242722,69141.05325443787,528.0,32.0,496.0,1634145338.648287,0.1305320262908935,0.1305320262908935
2,1,0,0,1,3,1,311,315379628,345,64,331,6,55236,443,0,0,0,0,3,315379628,6,55236,443,1694,42,562,142.0,211.75,0.7383142401773825,-0.7139429420037331,31248.6875,337.5,64.5,273.0,4174,32,761,301.0,298.1428571428572,0.5433599581453081,-0.9094728770828602,64215.1224489796,482.0,32.0,450.0,1634145339.089283,0.4409959316253662,0.5715279579162598
3,1,0,0,1,1,3,601,3232270750,635,228,621,6,443,55236,0,0,0,0,3,315379628,6,55236,443,2329,42,635,218.0,258.77777777777777,0.5704392334994752,-1.113014816835789,45469.50617283952,345.0,66.0,279.0,4775,32,761,301.0,318.3333333333333,0.363909334270432,-1.1545494670221352,65641.28888888888,528.0,32.0,496.0,1634145339.132624,0.0433409214019775,0.6148688793182373
4,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,0,0,3,315379628,6,55236,443,2395,42,635,142.0,239.5,0.7331755816015539,-0.9194652872584248,44267.25,342.5,66.0,276.5,4807,32,761,301.0,300.4375,0.45867969402973,-1.1123371478487722,66342.62109375,528.0,32.0,496.0,1634145339.134168,0.0015439987182617,0.616412878036499
5,1,0,0,1,3,1,344,315379628,378,64,364,6,55236,443,0,0,0,0,3,315379628,6,55236,443,2773,42,635,218.0,252.0909090909091,0.5689712747573826,-1.02534806768365,41828.26446280992,361.5,66.0,295.5,5151,32,761,301.0,303.0,0.4411763285078046,-1.0197481319186483,62545.17647058824,528.0,32.0,496.0,1634145339.300529,0.1663610935211181,0.7827739715576172
6,1,0,0,1,1,3,756,3232270750,790,228,776,6,443,55236,0,0,0,0,3,315379628,6,55236,443,3563,42,790,276.5,296.9166666666667,0.619970787964128,-0.8763763543171663,60445.40972222222,424.0,66.0,358.0,5907,32,761,306.0,328.1666666666667,0.3464065695472505,-1.2067315221523722,69837.58333333333,528.0,32.0,496.0,1634145339.346359,0.0458300113677978,0.828603982925415
7,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,0,0,3,315379628,6,55236,443,3629,42,790,218.0,279.15384615384613,0.7383365672712535,-0.7377814316119546,59581.97633136095,378.0,66.0,312.0,5939,32,761,301.0,312.57894736842104,0.4266074252732619,-1.1737032736385264,70535.50692520775,528.0,32.0,496.0,1634145339.348263,0.001904010772705,0.83050799369812
8,1,0,0,1,3,1,301,315379628,335,64,321,6,55236,443,0,0,0,0,3,315379628,6,55236,443,3964,42,790,276.5,283.1428571428572,0.7120945716610109,-0.6315902153518564,55532.979591836745,369.75,66.0,303.75,6240,32,761,301.0,312.0,0.4443323817724183,-1.0740027088807074,67015.1,528.0,32.0,496.0,1634145346.37984,7.031576871871948,7.862084865570068
9,1,0,0,1,1,3,528,3232270750,562,228,548,6,443,55236,0,0,0,0,3,315379628,6,55236,443,4526,42,790,335.0,301.7333333333333,0.5171347632214993,-0.9498833224417362,56669.26222222222,470.0,66.0,404.0,528,528,528,528.0,528.0,0.0,-3.0,0.0,528.0,528.0,0.0,1634145346.425814,0.0459740161895751,7.9080588817596436
10,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,0,0,3,315379628,6,55236,443,4592,42,790,276.5,287.0,0.6137332758117616,-0.8685658663810458,56383.5,424.0,66.0,358.0,560,32,528,280.0,280.0,0.0,-2.0,61504.0,404.0,156.0,248.0,1634145346.427349,0.0015351772308349,7.9095940589904785
11,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,3,315379628,6,55236,443,4652,42,790,218.0,273.6470588235294,0.7023811537162521,-0.7710723650225502,55919.64013840831,378.0,66.0,312.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634145347.907391,1.4800419807434082,9.389636039733887
12,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,2,0,3,315379628,6,55236,443,4694,42,790,142.0,260.77777777777777,0.7797951425674523,-0.6687932894053192,55628.50617283951,369.75,66.0,303.75,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634145347.907411,2.002716064453125e-05,9.389656066894531
13,1,0,0,1,3,1,63,315379628,97,64,83,6,55236,443,0,0,2,0,3,315379628,6,55236,443,4791,42,790,97.0,252.1578947368421,0.864492849203509,-0.5266390704749253,54038.13296398892,361.5,66.0,295.5,623,32,528,63.0,207.66666666666663,0.6972172018213313,-1.5000000000000002,51466.8888888889,295.5,47.5,248.0,1634145356.50918,8.601768970489502,17.991425037384033
14,1,0,0,1,1,3,63,3232270750,97,228,83,6,443,55236,0,0,2,0,3,315379628,6,55236,443,4888,42,790,97.0,244.4,0.944218338024014,-0.3771439774379757,52479.740000000005,353.25,66.0,287.25,686,32,528,63.0,171.5,1.1414827815093809,-0.6762424590634875,42524.25,179.25,55.25,124.0,1634145356.537763,0.0285830497741699,18.020008087158203
15,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,2,0,3,315379628,6,55236,443,66,66,66,66.0,66.0,0.0,-3.0,0.0,66.0,66.0,0.0,718,32,528,63.0,143.6,1.4806252641361537,0.2242004552293508,37133.03999999999,63.0,32.0,31.0,1634145356.540672,0.0029089450836181,18.02291703224182
16,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,3,0,3,315379628,6,55236,443,126,60,66,63.0,63.0,0.0,-2.0,9.0,64.5,61.5,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634145368.938991,12.398319005966188,30.421236038208008
