Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,3,184,3232270750,218,228,204,6,443,55236,0,0,0,0,3,315379628,6,55236,443,3072,66,792,218.0,279.27272727272725,1.0187594146401653,-0.1110228688627437,54260.01652892562,362.5,66.0,296.5,2482,32,758,186.0,275.77777777777777,0.7724941146367152,-0.6471980880737935,59916.172839506165,346.0,32.0,314.0,1634145857.840938,0.0,0.0
1,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,0,0,3,315379628,6,55236,443,3138,66,792,218.0,261.5,1.1272984950302756,0.1261236694424461,53212.91666666666,353.75,66.0,287.75,2514,32,758,185.0,251.4,0.907594212256102,-0.4325013560298663,59273.04,337.25,32.0,305.25,1634145857.842545,0.0016069412231445,0.0016069412231445
2,1,0,0,1,3,1,311,315379628,345,64,331,6,55236,443,0,0,0,0,3,315379628,6,55236,443,3483,66,792,218.0,267.9230769230769,1.07333129844142,0.1921114258360976,49614.686390532544,345.0,66.0,279.0,2825,32,758,186.0,256.8181818181818,0.8758467654630975,-0.2906869197963346,54178.14876033058,328.5,32.0,296.5,1634145858.380694,0.5381488800048828,0.5397558212280273
3,1,0,0,1,1,3,601,3232270750,635,228,621,6,443,55236,0,0,0,0,3,315379628,6,55236,443,4118,66,792,219.0,294.1428571428572,0.7908081340681292,-0.588812224653291,55007.97959183674,371.25,66.0,305.25,3426,32,758,248.5,285.5,0.5937343468507787,-0.9113936934988064,58712.41666666666,409.75,32.0,377.75,1634145858.433904,0.0532100200653076,0.592965841293335
4,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,0,0,3,315379628,6,55236,443,4184,66,792,218.0,278.93333333333334,0.8802984766207397,-0.4496553752983332,54579.39555555555,362.5,66.0,296.5,3458,32,758,186.0,266.0,0.7012854857773722,-0.7963212071405228,58759.07692307692,346.0,32.0,314.0,1634145858.43661,0.0027060508728027,0.5956718921661377
5,1,0,0,1,3,1,344,315379628,378,64,364,6,55236,443,0,0,0,0,3,315379628,6,55236,443,4562,66,792,219.0,285.125,0.8175383900434919,-0.4309718852661617,51743.234375,378.5,66.0,312.5,3802,32,758,248.5,271.57142857142856,0.6510834615537195,-0.7259284678707365,54965.5306122449,345.5,32.0,313.5,1634145858.594453,0.1578431129455566,0.7535150051116943
6,1,0,0,1,1,3,756,3232270750,790,228,776,6,443,55236,0,0,0,0,3,315379628,6,55236,443,5352,66,792,220.0,314.8235294117647,0.6990337352139023,-0.8062021198896261,62811.55709342561,380.0,66.0,314.0,4558,32,758,311.0,303.8666666666667,0.5314287644993522,-1.0408815239161011,65902.91555555555,473.5,32.0,441.5,1634145858.642364,0.0479109287261962,0.8014259338378905
7,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,0,0,3,315379628,6,55236,443,5418,66,792,219.0,301.0,0.7752917728252967,-0.7046477130789772,62570.55555555556,379.5,66.0,313.5,4590,32,758,248.5,286.875,0.6204828494092121,-0.9591742613803708,66114.734375,409.75,32.0,377.75,1634145858.646095,0.0037310123443603,0.8051569461822509
8,1,0,0,1,3,1,301,315379628,335,64,321,6,55236,443,0,0,0,0,3,315379628,6,55236,443,5753,66,792,220.0,302.7894736842105,0.7734799581889629,-0.6048659222108097,59335.00831024931,379.0,66.0,313.0,4891,32,758,301.0,287.7058823529412,0.6294278006684159,-0.8408435987374121,62236.67820069203,346.0,32.0,314.0,1634145862.442187,3.7960920333862314,4.601248979568482
9,1,0,0,1,1,3,528,3232270750,562,228,548,6,443,55236,0,0,0,0,3,315379628,6,55236,443,6315,66,792,277.5,315.75,0.6310913024238841,-0.8291223344766845,59559.7875,425.5,66.0,359.5,5419,32,758,306.0,301.05555555555554,0.4895628741051961,-1.0064355247218315,61808.71913580247,482.5,32.0,450.5,1634145862.488974,0.0467870235443115,4.648036003112794
