Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,3,304,3232270750,338,228,324,6,443,55236,0,0,0,0,3,315379628,6,55236,443,1195,66,791,338.0,398.3333333333333,0.2944235210685806,-1.5000000000000002,89424.22222222223,564.5,202.0,362.5,3204,32,757,345.0,356.0,0.2120516004758274,-1.3731023124264583,77668.0,600.0,32.0,568.0,1634142818.682168,0.0,0.0
1,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,0,0,3,315379628,6,55236,443,1261,66,791,202.0,315.25,0.7375543987883963,-1.0872714430018744,87776.6875,451.25,66.0,385.25,3236,32,757,324.5,323.6,0.3792285484342479,-1.3272280290325351,79349.04000000001,536.25,32.0,504.25,1634142818.817792,0.1356239318847656,0.1356239318847656
2,1,0,0,1,3,1,370,315379628,404,64,390,6,55236,443,0,0,0,0,3,315379628,6,55236,443,1665,66,791,338.0,333.0,0.6107534820740508,-0.8788794399548121,71481.6,404.0,66.0,338.0,3606,32,757,345.0,327.8181818181818,0.349675944190066,-1.1923308039451994,72313.42148760331,485.0,32.0,453.0,1634142819.217312,0.3995201587677002,0.5351440906524658
3,1,0,0,1,1,3,660,3232270750,694,228,680,6,443,55236,0,0,0,0,3,315379628,6,55236,443,2359,66,791,371.0,393.1666666666667,0.1538905641890302,-1.4482595498905908,77668.13888888889,621.5,134.0,487.5,4266,32,757,345.0,355.5,0.1499075511245576,-1.3884505071975788,74716.41666666667,615.0,32.0,583.0,1634142819.269562,0.0522499084472656,0.5873939990997314
4,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,0,0,3,315379628,6,55236,443,2425,66,791,338.0,346.42857142857144,0.4057832593874987,-1.374925966817709,79679.38775510203,549.0,66.0,483.0,4298,32,757,345.0,330.61538461538464,0.2813238188984429,-1.38030697141975,76399.92899408286,600.0,32.0,568.0,1634142819.27304,0.0034780502319335,0.5908720493316649
5,1,0,0,1,3,1,343,315379628,377,64,363,6,55236,443,0,0,0,0,3,315379628,6,55236,443,2802,66,791,357.5,350.25,0.3896525730207528,-1.171980034740416,69821.6875,476.5,66.0,410.5,4641,32,757,344.0,331.5,0.2819248734262576,-1.2600262810642098,70952.96428571429,542.5,32.0,510.5,1634142819.430755,0.15771484375,0.7485868930816649
6,1,0,0,1,1,3,755,3232270750,789,228,775,6,443,55236,0,0,0,0,3,315379628,6,55236,443,3591,66,791,377.0,399.0,0.1646631073403713,-1.4580241203910786,81076.22222222222,694.0,66.0,628.0,5396,32,757,345.0,359.7333333333333,0.1607355892002157,-1.4037169320763332,77382.46222222221,630.0,32.0,598.0,1634142819.475943,0.0451881885528564,0.7937750816345214
7,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,0,0,3,315379628,6,55236,443,3657,66,791,357.5,365.7,0.3370506181390366,-1.4199603178815474,82948.61,621.5,66.0,555.5,5428,32,757,344.0,339.25,0.266385222456143,-1.3965130963999262,78839.5625,615.0,32.0,583.0,1634142819.477812,0.0018689632415771,0.7956440448760985
8,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,3,315379628,6,55236,443,3717,60,791,338.0,337.90909090909093,0.4871041977395405,-1.323044416293247,83131.17355371901,549.0,66.0,483.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634142824.184323,4.7065110206604,5.502155065536499
9,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,2,0,3,315379628,6,55236,443,3759,42,791,202.0,313.25,0.6155434322588617,-1.1941194429754232,82892.35416666667,476.5,66.0,410.5,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634142824.184341,1.7881393432617188e-05,5.502172946929932
