Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5871,42,789,275.5,293.55,0.6626767196175727,-0.850434259850017,62830.9475,423.0,66.0,357.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634142971.39568,0.0,0.0
1,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,2,0,0,0,0,0,0,42,42,42,42.0,42.0,0.0,-3.0,0.0,42.0,42.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1634142971.395701,2.09808349609375e-05,2.09808349609375e-05
2,1,0,0,1,1,3,183,3232270750,217,228,203,6,443,55236,0,0,2,0,3,315379628,6,55236,443,259,42,217,129.5,129.5,0.0,-2.0,7656.25,173.25,85.75,87.5,5099,32,755,304.5,318.6875,0.3538157077382208,-1.050214591188303,61032.21484375,527.0,32.0,495.0,1634142971.403706,0.008005142211914,0.008026123046874938
3,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,2,0,3,315379628,6,55236,443,325,42,217,66.0,108.33333333333331,0.656537641468949,-1.4999999999999991,6000.222222222222,141.5,54.0,87.5,5131,32,755,300.0,301.8235294117647,0.4390030538319697,-1.0265247621418416,61992.380622837365,527.0,32.0,495.0,1634142971.412903,0.0091969966888427,0.017223119735717638
4,1,0,0,1,3,1,309,315379628,343,64,329,6,55236,443,0,0,2,0,3,315379628,6,55236,443,668,42,343,141.5,167.0,0.3591593015227108,-1.5054699716196696,14825.5,248.5,60.0,188.5,5440,32,755,304.5,302.22222222222223,0.446757569489196,-0.9135915415808832,58551.06172839507,481.0,32.0,449.0,1634142971.72601,0.3131070137023926,0.33033013343811024
5,1,0,0,1,1,3,32,3232270750,66,228,52,6,443,55236,0,0,2,0,3,315379628,6,55236,443,734,42,343,66.0,146.8,0.72642705496975,-1.1192104452318845,13492.56,217.0,66.0,151.0,5472,32,755,300.0,288.0,0.5206809474937171,-0.8790207409098301,59110.31578947369,435.0,32.0,403.0,1634142971.754689,0.0286788940429687,0.35900902748107894
6,1,0,0,1,1,3,599,3232270750,633,228,619,6,443,55236,0,0,2,0,3,315379628,6,55236,443,1367,42,633,141.5,227.83333333333331,0.9571995245610362,-0.4529232086635275,44075.80555555556,311.5,66.0,245.5,6071,32,755,304.5,303.55,0.3856944993455946,-1.0867970359782586,60749.0475,527.0,32.0,495.0,1634142971.777684,0.0229949951171875,0.38200402259826644
7,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,2,0,3,315379628,6,55236,443,1433,42,633,66.0,204.7142857142857,1.1860610744818028,0.0464519133290712,40986.204081632655,280.0,66.0,214.0,32,32,32,32.0,32.0,0.0,-3.0,0.0,32.0,32.0,0.0,1634142971.779127,0.0014429092407226,0.38344693183898904
8,1,0,0,1,3,1,342,315379628,376,64,362,6,55236,443,0,0,2,0,3,315379628,6,55236,443,1809,42,633,141.5,226.125,0.8701129605374802,-0.4437944388780273,39071.859375,351.25,66.0,285.25,374,32,342,187.0,187.0,0.0,-2.0,24025.0,264.5,109.5,155.0,1634142971.930529,0.1514022350311279,0.534849166870117
9,1,0,0,1,1,3,754,3232270750,788,228,774,6,443,55236,0,0,2,0,3,315379628,6,55236,443,2597,42,788,217.0,288.55555555555554,0.7738675179480404,-0.7634076068809943,65911.13580246914,376.0,66.0,310.0,1128,32,754,342.0,376.0,0.1709325931890714,-1.5000000000000002,87458.66666666667,548.0,187.0,361.0,1634142971.979407,0.0488779544830322,0.5837271213531492
