Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,3,304,3232270750,338,228,324,6,443,55236,0,0,0,0,7,315379628,6,55236,443,766,42,338,66.0,109.42857142857144,1.8843056348924463,1.8251199988953504,9045.102040816326,97.0,63.0,34.0,4454,32,758,184.0,262.0,0.7660697701756901,-0.7560166901181078,64627.76470588235,346.0,32.0,314.0,1634143499.795962,0.0,0.0
1,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,0,0,7,315379628,6,55236,443,832,42,338,66.0,104.0,2.105089974986415,2.7300244990242284,8120.75,97.0,64.5,32.5,4486,32,758,123.5,249.22222222222223,0.8473569354002167,-0.6319481006939776,63812.95061728396,346.0,32.0,314.0,1634143499.973265,0.1773028373718261,0.1773028373718261
2,1,0,0,1,3,1,371,315379628,405,64,391,6,55236,443,0,0,0,0,7,315379628,6,55236,443,1237,42,405,66.0,137.44444444444446,1.3329539923369826,-0.0475701141976712,16166.691358024693,97.0,66.0,31.0,4857,32,758,184.0,255.6315789473684,0.7833775916248099,-0.6425581901987871,61193.81163434903,358.5,32.0,326.5,1634143500.317911,0.3446459770202636,0.5219488143920897
3,1,0,0,1,1,3,661,3232270750,695,228,681,6,443,55236,0,0,0,0,7,315379628,6,55236,443,1932,42,695,81.5,193.2,1.426601781605633,0.7404214793355814,42528.16,277.75,66.0,211.75,5518,32,758,244.0,275.9,0.6247449651252605,-0.9953485633260736,65939.49,410.25,32.0,378.25,1634143500.367228,0.0493171215057373,0.571265935897827
4,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,0,0,7,315379628,6,55236,443,1998,42,695,66.0,181.63636363636363,1.5720959912139183,1.2023601445278669,39999.14049586777,217.5,66.0,151.5,32,32,32,32.0,32.0,0.0,-3.0,0.0,32.0,32.0,0.0,1634143500.368779,0.0015509128570556,0.5728168487548826
5,1,0,0,1,3,1,344,315379628,378,64,364,6,55236,443,0,0,0,0,7,315379628,6,55236,443,2376,42,695,81.5,198.0,1.2951248283132573,0.5403850142853557,39611.333333333336,348.0,66.0,282.0,376,32,344,188.0,188.0,0.0,-2.0,24336.0,266.0,110.0,156.0,1634143500.52326,0.1544811725616455,0.7272980213165281
6,1,0,0,1,1,3,756,3232270750,790,228,776,6,443,55236,0,0,0,0,7,315379628,6,55236,443,3166,42,790,97.0,243.53846153846155,1.1091416729423416,-0.1585348158812887,61449.32544378698,378.0,66.0,312.0,1132,32,756,344.0,377.3333333333333,0.1672075856531493,-1.5000000000000004,87918.22222222223,550.0,188.0,362.0,1634143500.570334,0.0470738410949707,0.7743718624114988
7,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,0,0,7,315379628,6,55236,443,3232,42,790,81.5,230.8571428571429,1.2193132635830206,0.1058260785087394,59150.69387755101,368.0,66.0,302.0,1164,32,756,188.0,291.0,0.628335773097079,-1.2120395043362708,88299.0,447.0,32.0,415.0,1634143500.571958,0.0016241073608398,0.7759959697723386
8,1,0,0,1,3,1,301,315379628,335,64,321,6,55236,443,0,0,0,0,7,315379628,6,55236,443,3567,42,790,97.0,237.8,1.1568813186589582,0.1092098959798186,55882.16,358.0,66.0,292.0,1465,32,756,301.0,293.0,0.6796998882140987,-0.7868574420356649,70655.2,344.0,32.0,312.0,1634143508.01739,7.44543194770813,8.221427917480469
9,1,0,0,1,1,3,528,3232270750,562,228,548,6,443,55236,0,0,0,0,7,315379628,6,55236,443,4129,42,790,97.0,258.0625,0.9098713117974752,-0.489997459405187,58548.05859375,384.75,66.0,318.75,1993,32,756,322.5,332.1666666666667,0.286648004481058,-1.119278795618912,66549.47222222223,482.0,99.25,382.75,1634143508.060438,0.0430479049682617,8.26447582244873
