Unnamed: 0,L4_tcp,L4_udp,L7_http,L7_https,port_class_src,port_class_dst,pck_size,ip_dst_new,ethernet_frame_size ,ttl,total_length,protocol ,source_port,dest_port,DNS_count,NTP_count,ARP_count,cnt,L3_ip_dst_count,most_freq_d_ip,most_freq_prot,most_freq_sport,most_freq_dport,sum_et,min_et,max_et,med_et,average_et,skew_et,kurt_et,var,q3,q1,iqr,sum_e,min_e,max_e,med,average,skew_e,kurt_e,var_e,q3_e,q1_e,iqr_e,epoch_timestamp,inter_arrival_time,time_since_previously_displayed_frame
0,1,0,0,1,1,3,183,3232270750,217,228,203,6,443,55236,0,0,0,0,7,315379628,6,55236,443,845,66,562,217.0,281.6666666666667,0.4370385532552173,-1.5000000000000002,43093.55555555556,389.5,141.5,248.0,743,32,528,183.0,247.66666666666663,0.4370385532552178,-1.4999999999999998,43093.55555555556,355.5,107.5,248.0,1634143667.36535,0.0,0.0
1,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,0,0,7,315379628,6,55236,443,911,66,562,141.5,227.75,0.8683281285397852,-0.9441878667739472,41041.1875,303.25,66.0,237.25,775,32,528,107.5,193.75,0.8683281285397852,-0.9441878667739472,41041.1875,269.25,32.0,237.25,1634143667.368235,0.002885103225708,0.002885103225708
2,1,0,0,1,3,1,310,315379628,344,64,330,6,55236,443,0,0,0,0,7,315379628,6,55236,443,1255,66,562,217.0,251.0,0.5554688910921991,-1.0772204610414289,34995.2,344.0,66.0,278.0,1085,32,528,183.0,217.0,0.5554688910921991,-1.0772204610414289,34995.2,310.0,32.0,278.0,1634143667.790495,0.4222598075866699,0.42514491081237793
3,1,0,0,1,1,3,32,3232270750,66,228,52,6,443,55236,0,0,0,0,7,315379628,6,55236,443,1321,66,562,141.5,220.16666666666663,0.8231722364483781,-0.742084144051729,33916.1388888889,312.25,66.0,246.25,1117,32,528,107.5,186.16666666666663,0.8231722364483781,-0.742084144051729,33916.1388888889,278.25,32.0,246.25,1634143667.819035,0.0285401344299316,0.4536850452423095
4,1,0,0,1,1,3,600,3232270750,634,228,620,6,443,55236,0,0,0,0,7,315379628,6,55236,443,1955,66,634,217.0,279.2857142857143,0.4868501095658846,-1.376375346813692,50041.3469387755,453.0,66.0,387.0,1717,32,600,183.0,245.28571428571428,0.4868501095658846,-1.376375346813692,50041.3469387755,419.0,32.0,387.0,1634143667.837074,0.0180389881134033,0.47172403335571284
5,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,0,0,7,315379628,6,55236,443,2021,66,634,141.5,252.625,0.6942001489577259,-1.1474121486025983,48761.734375,398.5,66.0,332.5,1749,32,600,107.5,218.625,0.6942001489577259,-1.1474121486025983,48761.734375,364.5,32.0,332.5,1634143667.840117,0.0030429363250732,0.474766969680786
6,1,0,0,1,3,1,343,315379628,377,64,363,6,55236,443,0,0,0,0,7,315379628,6,55236,443,2398,66,634,217.0,266.44444444444446,0.5255237873978076,-1.2048353627288395,44871.58024691358,377.0,66.0,311.0,2092,32,600,183.0,232.44444444444449,0.5255237873978076,-1.2048353627288395,44871.58024691358,343.0,32.0,311.0,1634143667.992417,0.1523001194000244,0.6270670890808104
7,1,0,0,1,1,3,755,3232270750,789,228,775,6,443,55236,0,0,0,0,7,315379628,6,55236,443,3187,66,789,280.5,318.7,0.5096749952341445,-1.1340792033385805,64960.21,515.75,66.0,449.75,2847,32,755,246.5,284.7,0.5096749952341445,-1.1340792033385805,64960.21,481.75,32.0,449.75,1634143668.044568,0.0521509647369384,0.6792180538177488
8,1,0,0,1,3,1,32,315379628,66,64,52,6,55236,443,0,0,0,0,7,315379628,6,55236,443,3253,66,789,217.0,295.72727272727275,0.6526996125405325,-0.9936768216972256,64332.19834710744,469.5,66.0,403.5,2879,32,755,183.0,261.72727272727275,0.6526996125405325,-0.9936768216972256,64332.19834710744,435.5,32.0,403.5,1634143668.046147,0.0015790462493896,0.6807971000671384
9,1,0,0,1,3,1,344,315379628,378,64,364,6,55236,443,0,0,0,0,7,315379628,6,55236,443,3631,66,789,280.5,302.5833333333333,0.5917003198865461,-0.9193595514743156,59488.24305555556,424.0,66.0,358.0,3223,32,755,246.5,268.5833333333333,0.5917003198865461,-0.9193595514743156,59488.24305555556,390.0,32.0,358.0,1634143668.598329,0.5521819591522217,1.2329790592193601
